cond,distBin,angleBin,dist_v,angle_v,heading,coord,tbf,spd_diff,angleBinSize,distBinSize
F0,0,2,0.6539721065290417,65.83856274928718,189.0079344632118,0.2689736978252765,2.7827149285032697,-0.5543099128021607,30,1
F0,0,2,0.8259212064890582,69.30492722554885,179.35280882149812,0.6309983270807518,2.729714145257677,-0.43259761563398486,30,1
F0,1,2,1.0654213744759258,64.5822031139673,176.75796777812025,0.6309983270807518,3.144961642171534,-0.2860467136584136,30,1
F0,1,1,1.17584570363131,51.94319197036111,277.7726809349909,0.5913517824620595,2.4045912611091977,-0.9465887848945278,30,1
F0,1,0,1.1821087209406822,25.119088265780533,342.81935896491876,0.25435615320317634,3.181325139895283,-0.4926991853190799,30,1
F0,0,0,0.8970935247447013,7.869704653300516,346.24696923144177,0.22431200067045606,3.0567370066862067,-0.27719412945201505,30,1
F0,1,1,1.0163885611598125,46.70659302616639,10.801630983869776,0.14018837357883926,3.576164932372076,0.05698805488383497,30,1
F0,1,2,1.0278606055361463,77.21818229750471,15.57258911505663,0.2054958633483302,3.2114469155829335,-0.15627159913669533,30,1
F0,1,3,1.1286769297563157,92.90160430846345,13.984722789217233,0.18221833015226338,3.199036588623054,-0.10619861834719704,30,1
F0,1,3,1.6764843543326038,93.10215602072788,224.53308293420028,0.1925182205774601,2.0455410399832323,-0.1747121836715184,30,1
F0,1,2,1.6241057773598888,85.22356107471643,219.48185829585512,0.43882942848586576,2.1435199733226313,0.08304885549129574,30,1
F0,1,2,1.6013454728136383,72.39983575535712,279.83192244084125,0.43882942848586576,1.3126212711556722,-0.34765076735904893,30,1
F0,1,1,1.476602224493814,53.36400288809239,286.13076651697986,0.408841259471021,1.0039614271777724,-0.12640842746812095,30,1
F0,1,1,1.5101219885629507,39.62838702864735,297.3670992874519,0.15394182284484062,1.744697850138656,0.2738235193774661,30,1
F0,1,0,1.0726973946026275,24.367104759956135,353.6083010167846,0.16164014603999174,2.309609599195666,-0.6496831570402194,30,1
F0,0,0,0.8822873470420886,11.456798761331356,342.1430709886277,0.18319545098641496,2.829417016131305,0.13022827177196733,30,1
F0,0,1,0.6945941714773457,32.62871176242248,346.6995867016289,0.24127756912145215,3.883386448740962,0.335125510618705,30,1
F0,0,1,0.550687092022538,36.51722318936072,351.9413090683527,0.18084731332601836,3.5794741924232087,0.39871170460641225,30,1
F0,2,3,2.234810053287465,117.76412153829295,5.841204297446959,nan,3.3702165073217767,-0.0065510505669978515,30,1
F0,2,3,2.5806912653391767,113.76220585242265,54.17120928742564,0.6107008282020432,2.4715053549639183,0.29193394429562936,30,1
F0,2,3,2.795500367455033,110.16331308494182,45.17242582185506,0.6107008282020432,3.369262533378569,0.3263508983280611,30,1
F0,2,3,2.883111522642968,110.35081379245298,147.2006531859179,0.5827915989595707,4.444496349981991,-0.381095849029896,30,1
F0,2,3,2.8079571052177057,111.76685921351805,170.50777431253758,0.34556315039855395,3.413219895653628,-0.27984229462623805,30,1
F0,2,3,2.7791119950446537,116.94544069474586,189.70877112322367,0.3233552448782173,3.7990921385408227,-0.06320392158115079,30,1
F0,2,4,2.7563758070063855,121.22037931499136,208.8071715497453,0.26117310942127464,3.8247376008934695,0.03833290027553144,30,1
F0,2,4,2.4727713260297137,128.68067297093353,219.04482216517823,0.2439379049682321,3.985766768640522,0.07339182702784047,30,1
F0,2,4,2.0312596704101153,139.45911107223134,220.8715524229269,0.2045913086542269,3.7063037447534666,0.6183867717711472,30,1
F0,1,2,1.6780163665286578,65.56320450725246,3.9774019688503794,nan,3.1566705003231497,-0.5122149759336487,30,1
F0,1,1,1.2453887584082022,54.02079269290016,355.7451587831987,0.28470096379717974,2.70215129226271,0.05687324016079537,30,1
F0,1,1,1.1246346963213483,32.63828665718711,1.4170248068751152,0.28470096379717974,2.981986669489359,0.11514009867573467,30,1
F0,0,0,0.9881478971425279,10.735722253789163,44.181180822496685,0.27072575326822895,1.6031499673236305,-0.38699805677421983,30,1
F0,0,0,0.8065463464596244,16.512295177488568,48.964948337227675,0.15193646377214698,1.962690605147638,-0.06474979513796536,30,1
F0,0,1,0.48132353711976344,57.29351627821046,129.95820514700745,0.18211107778137064,1.2288072820549534,-0.3016734449928566,30,1
F0,0,3,0.4943303665204119,115.29247388249911,133.62911262374894,0.2665999970071969,2.1342526426644537,0.533690117570615,30,1
F0,0,5,0.6741348889763896,168.66240036644706,181.93713382292802,0.11111708803995088,3.760688082749668,0.5054179998880606,30,1
F0,0,5,0.8833394335283072,151.53018647324234,177.9338175275299,0.14337789721789598,2.9225386273125675,0.7230918258148387,30,1
F0,2,4,2.3964139288293387,122.05010704030167,350.787188931978,nan,4.149840186874563,-0.02759498921650283,30,1
F0,2,3,2.739125653025325,116.19361482397397,351.2521622860206,0.4727585123493845,3.3319020555365895,0.1963718138413094,30,1
F0,2,3,2.6718110202732,104.90685908719672,241.3217359382428,0.4727585123493845,3.595532162650938,-1.2623319251398168,30,1
F0,2,3,2.4033561833547785,97.19063139354552,192.4934370773958,0.45030193672642865,2.6293938303126496,-0.9449550506650191,30,1
F0,2,3,2.1435124461805994,96.74905815411842,188.5056734410247,0.2594210439313049,0.5532588089112774,-0.2767571202186903,30,1
F0,2,3,2.055211050403383,103.69954518412385,182.23851213788186,0.25697058358507435,3.5967065540810568,0.2062597701115062,30,1
F0,2,3,2.0786017796260907,109.76008681791751,184.84862395411525,0.25010929461562875,2.071389211212218,0.7403213864745095,30,1
F0,1,4,1.9943018111955502,121.97771430744922,202.01751531712873,0.1944502625286451,3.0142308310591432,0.9892653779308164,30,1
