"","cond","distBin","angleBin","data_type","value"
"660","F0","0","1","coord",0.969947807068401
"661","F0","0","2","heading",23.8176368143296
"662","F0","0","2","coord",0.966515413084296
"663","F0","0","2","heading",15.3171798240495
"664","F0","0","2","coord",0.827929528237307
"665","F0","0","2","heading",44.7188176719256
"666","F0","0","2","coord",0.945571739164781
"667","F0","0","2","heading",70.8749372006442
"668","F0","0","2","coord",0.974088893370865
"669","F0","0","3","heading",84.5449084164701
"670","F0","0","3","coord",0.861765012141072
"671","F0","0","4","heading",156.342335969019
"672","F0","0","4","coord",0.89600460689536
"673","F0","0","3","heading",178.959705560646
"674","F0","0","3","coord",0.944571285667345
"675","F0","1","2","heading",107.728496921722
"676","F0","1","2","coord",0.887764071973285
"677","F0","1","2","heading",110.773230971694
"678","F0","1","2","coord",0.954707862149053
"679","F0","1","5","heading",166.33429692364
"680","F0","1","5","coord",0.897825147888378
"681","F0","1","4","heading",135.296189435817
"682","F0","1","4","coord",0.894051823103756
"683","F0","1","3","heading",138.620390020071
"684","F0","1","3","coord",0.861180153444319
"685","F0","2","2","heading",97.8070371971989
"686","F0","2","2","coord",0.857458429102835
"687","F0","2","2","heading",104.3197484221
"688","F0","2","2","coord",0.754160115254895
"689","F0","2","1","heading",59.532733956007
"690","F0","2","1","coord",0.803476027883637
"691","F0","2","1","heading",57.8751324769564
"692","F0","2","1","coord",0.970382731818792
"693","F0","1","1","heading",31.3859813610914
"694","F0","1","1","coord",0.867285964637607
"695","F0","1","0","heading",14.7003800068284
"696","F0","1","0","coord",0.958825182575813
"697","F0","1","0","heading",4.47528488467484
"698","F0","1","0","coord",0.926325578161853
"699","F0","1","0","heading",4.47625921579735
"700","F0","1","0","coord",0.99176663681695
"701","F0","0","0","heading",54.2642997492043
"702","F0","0","0","coord",0.884750269477371
"703","F0","0","0","heading",134.460227528824
"704","F0","0","0","coord",0.965962542304889
"705","F0","0","0","heading",141.047850993761
"706","F0","0","0","coord",0.907734894895101
"707","F0","0","1","heading",171.208830341487
"708","F0","0","1","coord",0.680217871053315
"709","F0","0","0","heading",166.914314965048
"710","F0","0","0","coord",0.958423084044846
"711","F0","1","1","heading",126.310432223028
"712","F0","1","1","coord",0.980113851166775
"713","F0","1","1","heading",135.092142251498
"714","F0","1","1","coord",0.99859625096401
"715","F0","2","2","heading",118.838657407312
"716","F0","2","2","coord",0.896463371365267
"717","F0","2","1","heading",96.7949047043798
"718","F0","2","1","coord",0.832457747526827
"719","F0","2","1","heading",49.7785246346211
"720","F0","2","1","coord",0.839894164455402
"721","F0","2","1","heading",19.1406509372887
"722","F0","2","1","coord",0.816359091902915
"723","F0","2","0","heading",2.60279175517203
"724","F0","2","0","coord",0.852531843672041
"725","F0","1","0","heading",27.104778488726
"726","F0","1","0","coord",0.870407945866885
"727","F0","1","0","heading",10.8699915518199
"728","F0","1","0","coord",0.896566219049037
"729","F0","1","0","heading",7.21012238356882
"730","F0","1","0","coord",0.748695039469646
"731","F0","1","0","heading",47.8543422621335
"732","F0","1","0","coord",0.953788324617774
"733","F0","1","0","heading",126.79974805566
"734","F0","1","0","coord",0.982414648302114
"735","F0","0","0","heading",144.29709166031
"736","F0","0","0","coord",0.836866320326316
"737","F0","1","1","heading",157.854866000039
"738","F0","1","1","coord",0.960838101289034
"739","F0","1","2","heading",103.344038488252
"740","F0","1","2","coord",0.813295039628152
"741","F0","2","2","heading",44.9084124035263
"742","F0","2","2","coord",0.954785383303558
"743","F0","2","2","heading",23.4041897307486
"744","F0","2","2","coord",0.918047502151281
"745","F0","2","2","heading",10.7851694742112
"746","F0","2","2","coord",0.949334237880646
