,Year,Month,Day,Trial,Ablation,Darkness,Flow,Fish,Tailbeat_Num,X_Distance,Y_Distance,Z_Distance,Distance,Angle,Yaw_Heading_Diff,Pitch_Heading_Diff,Fish1_Speed,Fish2_Speed,Fish1_X,Fish1_Y,Fish1_Z,Fish2_X,Fish2_Y,Fish2_Z,Fish1_Yaw_Heading,Fish2_Yaw_Heading,Speed_Diff,Sync
0,2021,10,06,34,Y,N,2,individual1xindividual3,0,,,,,,,,2.9495921936581824,,0.5511873915252243,1.8695995043797584,0.788918987831605,,,,-163.40648886949646,,,
1,2021,10,06,34,Y,N,2,individual1xindividual3,1,,,,,,,,4.065970502406084,,0.5794718971892024,1.791296503450707,0.8179606334459866,,,,-164.01492344431054,,,
2,2021,10,06,34,Y,N,2,individual1xindividual3,2,,,,,,,,8.656358891688924,,0.7717539337143876,1.7020731447978794,2.2122611723586445,,,,-102.30453421227001,,,0.7251132613435743
3,2021,10,06,34,Y,N,2,individual1xindividual3,3,,,,,,,,,,,,,,,,,,,0.5314274353846744
4,2021,10,06,34,Y,N,2,individual1xindividual3,4,,,,,,,,,,,,,,,,,,,0.5314274353846744
5,2021,10,06,34,Y,N,2,individual1xindividual3,5,,,,,,,,3.1394312062409866,,3.081332468042127,2.004490834187927,1.3393372809545554,,,,47.24052531780391,,,0.5314274353846744
6,2021,10,06,34,Y,N,2,individual1xindividual3,6,,,,,,,,3.8107419994136924,,3.2647148688759953,2.2200647046893125,1.1253473650872856,,,,103.82535393821475,,,0.5314274353846744
7,2021,10,06,34,Y,N,2,individual1xindividual3,7,0.5594924262748103,-0.40432861482828975,2.330599749566073,2.4306806858378747,-35.83050411965786,35.5467465887128,37.73189086024875,2.7865916990366695,2.915751622779741,3.3337786297631986,2.3302549991172703,0.8723382578841035,2.7742862034883884,1.9259263842889807,-1.4582614916819692,145.55497841604253,-140.95989018064162,-0.12915992374307103,0.5314274353846744
8,2021,10,06,34,Y,N,2,individual1xindividual3,8,0.5868151982524366,-0.5554278329510172,1.9429772193598047,2.104284350905996,-43.29486461452386,21.09145649221152,9.26630996691286,3.2995809378658447,2.850661378298439,3.209948317728643,2.5129880480464215,0.8597542669610112,2.623133119476207,1.957560215095404,-1.0832229523987937,157.15059156524583,178.24161703743948,0.44891955956740626,0.5314274353846744
9,2021,10,06,34,Y,N,2,individual1xindividual3,9,0.5276977843389465,-0.6528900021108971,1.402367354060351,1.6344309413942304,-51.058626517414204,9.25975044203287,16.442545230793087,3.3459545297718534,3.0227248477160287,2.9803316472887644,2.665893968620687,0.7774867808169548,2.4526338629498174,2.01300396650979,-0.6248805732433963,168.03310722320353,120.45085072092634,0.323229682055825,0.1694365986878476
10,2021,10,06,34,Y,N,2,individual1xindividual3,10,,,,,,,,,2.5359597092937802,,,,2.3118371903366124,2.058487763081452,-0.24645960203959003,,65.43724960140366,,0.015502743273249811
11,2021,10,06,34,Y,N,2,individual1xindividual3,11,,,,,,,,,2.1471246140335536,,,,2.259581254314906,2.076279218054606,-0.1164313121592395,,27.642781130207208,,0.015502743273249811
0,2021,10,06,34,Y,N,2,individual5xindividual1,0,1.463695112443246,-0.8737755483347335,3.092399560906807,3.5311219371970894,-30.871145728269244,21.08317833474519,49.13414374271664,3.7225286192745473,2.9495921936581824,2.0148825039684706,2.743375052714492,3.8813185487384105,0.5511873915252243,1.8695995043797584,0.788918987831605,118.67416516351896,-163.40648886949646,0.772936425616365,0.3337631990576976
1,2021,10,06,34,Y,N,2,individual5xindividual1,1,1.3182380311369468,-1.0556427979044443,3.7386119564635707,4.10235939241258,-38.68106699390437,20.400763981279315,29.221952116239063,3.4129228040367536,4.065970502406084,1.8977099283261492,2.846939301355151,4.556572589909557,0.5794718971892024,1.791296503450707,0.8179606334459866,175.58406875771672,-164.01492344431054,-0.6530476983693302,0.7940936118850906
2,2021,10,06,34,Y,N,2,individual5xindividual1,2,1.041869474244979,-1.2614228319359784,3.1541210840157956,3.553190027978502,-51.87654232471587,74.7185634569161,35.302529667591216,3.4663034218778175,8.656358891688924,1.8136234079593665,2.963495976733858,5.36638225637444,0.7717539337143876,1.7020731447978794,2.2122611723586445,174.31974789041388,-102.30453421227001,-5.1900554698111065,0.8941099087042812
3,2021,10,06,34,Y,N,2,individual5xindividual1,3,,,,,,,,3.1146329110391258,,1.826971645255424,3.0332765895544735,5.967866565733305,,,,174.77020193100273,,,0.8775728323880769
0,2021,10,06,34,Y,N,2,individual6xindividual1,0,2.420410989977672,-0.3800835925750999,3.03241933504286,3.898515091838336,-8.888531678607967,54.03114062203784,96.62984360703216,3.9232665589540248,2.9495921936581824,2.971598381502896,2.249683096954858,3.8213383228744644,0.5511873915252243,1.8695995043797584,0.788918987831605,142.56410836140844,-163.40648886949646,0.9736743652958416,0.6164504949830437
1,2021,10,06,34,Y,N,2,individual6xindividual1,1,2.47489465685092,-0.5520122027269109,3.1141073159383517,4.015904058820307,-12.560919175391822,39.849548005422065,52.43654585958814,3.4328534922480243,4.065970502406084,3.0543665540401217,2.3433087061776177,3.9320679493843373,0.5794718971892024,1.791296503450707,0.8179606334459866,156.12772276003662,-164.01492344431054,-0.6331170101580594,0.5362557018985109
0,2021,10,06,34,Y,N,2,individual8xindividual1,0,,,,,,,,,2.9495921936581824,,,,0.5511873915252243,1.8695995043797584,0.788918987831605,,-163.40648886949646,,0.30484995412008525
1,2021,10,06,34,Y,N,2,individual8xindividual1,1,0.8146607700207881,-0.9200571448225926,4.907850198840457,5.0593646729810136,-48.59743298527079,8.603447515877665,35.5463746526989,5.549442168213598,4.065970502406084,1.3941326672099907,2.7113536482732994,5.725810832286443,0.5794718971892024,1.791296503450707,0.8179606334459866,-172.6230974419577,-164.01492344431054,1.4834716658075133,0.27345194702346776
