,id,x,y,frame,camera
0,2,859.95215,610.55585,0,0
1,3,837.0383,643.0536,0,0
2,4,813.19025,676.3454,0,0
3,5,851.33966,510.1394,0,0
4,6,828.6319,540.28546,0,0
5,7,805.0282,571.1888,0,0
6,8,781.26624,603.46454,0,0
7,9,756.576,636.5435,0,0
8,10,797.92224,472.1006,0,0
9,11,774.1887,501.8737,0,0
10,12,750.1153,532.316,0,0
11,13,725.3897,563.5711,0,0
12,14,699.9593,596.0681,0,0
13,15,744.53534,434.32764,0,0
14,16,720.1383,463.19196,0,0
15,17,695.23596,493.38834,0,0
16,18,669.6082,524.1656,0,0
17,19,643.3701,555.8215,0,0
18,20,690.9459,396.4492,0,0
19,21,666.2707,424.92862,0,0
20,22,640.3712,454.1643,0,0
21,23,613.99066,484.54892,0,0
22,24,586.7965,515.4412,0,0
23,0,904.9472,547.9195,1,0
24,1,883.1182,578.7589,1,0
25,2,860.1835,610.4161,1,0
26,3,837.26385,642.972,1,0
27,4,813.14716,676.34576,1,0
28,5,851.34186,510.00763,1,0
29,6,828.59924,540.31647,1,0
30,7,805.1055,571.147,1,0
31,8,781.5756,603.46295,1,0
32,9,756.52313,636.24884,1,0
33,10,798.3156,472.3384,1,0
34,11,774.46326,501.61093,1,0
35,12,749.98755,532.2873,1,0
36,13,725.38727,563.44476,1,0
37,14,700.0869,596.1536,1,0
38,15,744.4784,434.16498,1,0
39,16,720.1951,463.16293,1,0
40,17,695.4948,493.44812,1,0
41,18,669.8481,524.0545,1,0
42,19,643.3397,555.9908,1,0
43,21,666.29254,424.87094,1,0
44,22,640.3055,454.2044,1,0
45,23,613.93616,484.6294,1,0
46,24,586.8168,515.5078,1,0
47,0,904.95984,547.8313,2,0
48,1,883.09265,578.8376,2,0
49,2,860.3375,610.48193,2,0
50,3,837.22644,642.98315,2,0
51,4,813.38696,676.34155,2,0
52,5,851.64655,510.05603,2,0
53,6,828.87634,540.35876,2,0
54,7,805.31055,571.1985,2,0
55,8,781.53296,603.4287,2,0
56,9,756.8009,636.4789,2,0
57,10,797.9855,471.89456,2,0
58,11,774.40204,501.60986,2,0
59,12,750.1207,532.27637,2,0
60,13,725.7626,563.7924,2,0
61,14,700.06226,596.12445,2,0
62,15,744.82666,434.14206,2,0
63,16,720.2067,463.1147,2,0
64,17,695.49,493.54196,2,0
65,18,669.7499,524.0024,2,0
66,19,643.6646,555.57074,2,0
67,21,666.3336,424.81525,2,0
68,22,640.3903,454.1255,2,0
69,23,614.251,484.68185,2,0
70,24,586.81366,515.5069,2,0
71,2,860.38824,610.44305,3,0
72,3,837.30695,642.8558,3,0
73,4,813.4439,676.28253,3,0
74,5,851.8076,510.1368,3,0
75,6,828.882,540.3178,3,0
76,7,805.4101,571.09705,3,0
77,8,781.59,603.3686,3,0
78,9,756.8363,636.44336,3,0
79,10,798.07336,471.9743,3,0
80,11,774.5572,501.62286,3,0
81,12,750.19116,532.19086,3,0
82,13,725.6843,563.51404,3,0
83,14,700.3369,596.1015,3,0
84,15,744.9416,434.0828,3,0
85,16,720.46063,463.24814,3,0
86,17,695.63556,493.3188,3,0
87,18,669.97144,524.0155,3,0
88,19,643.7118,555.5691,3,0
89,20,691.47736,396.32706,3,0
90,21,666.4566,424.65845,3,0
91,22,640.52637,454.16043,3,0
92,23,614.25507,484.5057,3,0
93,24,586.96497,515.57404,3,0
94,2,860.44275,610.3941,4,0
95,3,837.4551,642.78674,4,0
96,4,813.47144,676.2227,4,0
97,5,851.96014,510.08115,4,0
98,6,828.874,540.2222,4,0
99,7,805.5193,571.0521,4,0
100,8,781.6131,603.307,4,0
101,9,756.89124,636.335,4,0
102,10,798.1516,471.98132,4,0
103,11,774.73645,501.63947,4,0
104,12,750.2665,532.0891,4,0
105,13,725.6908,563.51245,4,0
106,14,700.3127,595.89417,4,0
107,15,745.08234,434.0284,4,0
108,16,720.60986,463.41425,4,0
109,17,695.7478,493.18945,4,0
110,18,670.1589,524.01624,4,0
111,19,643.7652,555.58704,4,0
112,20,691.6294,396.1902,4,0
113,21,666.69147,424.73602,4,0
114,22,640.66656,454.20206,4,0
115,23,614.25287,484.32248,4,0
116,24,587.1449,515.5908,4,0
117,0,905.3656,547.7907,5,0
118,1,883.6291,578.7431,5,0
119,2,860.7134,610.17957,5,0
120,3,837.51526,642.6597,5,0
121,4,813.647,676.334,5,0
122,5,852.1325,509.86017,5,0
123,6,829.11444,540.52704,5,0
124,7,805.60187,571.1243,5,0
125,8,781.6164,603.1155,5,0
126,9,756.8589,636.2423,5,0
127,10,798.56323,472.01523,5,0
128,11,774.8801,501.4057,5,0
129,12,750.4767,532.0949,5,0
130,13,725.9113,563.3895,5,0
131,14,700.3439,595.9045,5,0
132,15,745.24335,434.1084,5,0
133,16,720.4508,463.20978,5,0
134,17,695.8265,493.02658,5,0
135,18,670.1756,523.79974,5,0
