pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y
695.1847,395.83685,664.4003,443.525,908.63556,547.525,927.01263,624.67883
908.75024,547.4973,927.09326,624.65924,815.9452,675.6046,900.0828,784.33984
815.9452,675.6046,900.0828,784.33984,589.59015,514.76843,619.00696,594.8083
589.59015,514.76843,619.00696,594.8083,695.3525,395.96402,664.6812,443.5573
695.3525,395.96402,664.6812,443.5573,908.75024,547.4973,927.09326,624.65924
908.9024,547.48883,927.3473,624.4076,816.1365,675.61664,900.26746,784.3122
816.1365,675.61664,900.26746,784.3122,589.7756,514.786,619.105,594.78424
589.7756,514.786,619.105,594.78424,695.4716,395.9662,664.83026,443.47595
695.4716,395.9662,664.83026,443.47595,908.9024,547.48883,927.3473,624.4076
909.06665,547.5251,927.5539,624.3999,816.2807,675.6483,900.4461,784.2641
816.2807,675.6483,900.4461,784.2641,589.976,514.779,619.2416,594.7473
589.976,514.779,619.2416,594.7473,695.5632,395.96283,664.9432,443.45892
695.5632,395.96283,664.9432,443.45892,909.06665,547.5251,927.5539,624.3999
909.2197,547.4242,927.7304,624.41547,816.3898,675.6629,900.62415,784.3226
816.3898,675.6629,900.62415,784.3226,590.0737,514.7792,619.4479,594.73956
590.0737,514.7792,619.4479,594.73956,695.701,396.0074,665.04645,443.48315
695.701,396.0074,665.04645,443.48315,909.2197,547.4242,927.7304,624.41547
909.3262,547.32263,927.89044,624.3963,816.4622,675.7033,900.7335,784.3672
816.4622,675.7033,900.7335,784.3672,590.14716,514.7857,619.5226,594.78015
590.14716,514.7857,619.5226,594.78015,695.943,396.04663,665.1313,443.55756
695.943,396.04663,665.1313,443.55756,909.3262,547.32263,927.89044,624.3963
909.4685,547.2468,927.9933,624.3517,816.5756,675.7211,900.9004,784.3012
816.5756,675.7211,900.9004,784.3012,590.25195,514.7541,619.7635,594.7423
590.25195,514.7541,619.7635,594.7423,695.94476,396.01837,665.2915,443.52393
695.94476,396.01837,665.2915,443.52393,909.4685,547.2468,927.9933,624.3517
909.76086,547.1834,928.2274,624.53,816.65155,675.74445,901.0362,784.216
816.65155,675.74445,901.0362,784.216,590.3304,514.74194,619.96515,594.6681
909.7897,547.2571,928.51385,624.5102,816.91736,675.6482,901.1402,784.1606
816.91736,675.6482,901.1402,784.1606,590.6071,514.5697,620.0685,594.65875
909.8704,547.2814,928.5989,624.4026,817.0803,675.57434,901.2828,784.17316
817.0803,675.57434,901.2828,784.17316,590.6976,514.6996,620.18976,594.6504
590.6976,514.6996,620.18976,594.6504,696.1492,395.90793,665.8672,443.40268
696.1492,395.90793,665.8672,443.40268,909.8704,547.2814,928.5989,624.4026
910.03033,547.2266,928.8419,624.4381,817.21533,675.5247,901.47253,784.1346
817.21533,675.5247,901.47253,784.1346,590.7788,514.72766,620.30035,594.6502
590.7788,514.72766,620.30035,594.6502,696.0782,396.1809,665.98444,443.41876
696.0782,396.1809,665.98444,443.41876,910.03033,547.2266,928.8419,624.4381
910.1681,547.12366,929.07996,624.437,817.33716,675.4733,901.6738,784.1285
817.33716,675.4733,901.6738,784.1285,590.86865,514.7464,620.4157,594.65594
590.86865,514.7464,620.4157,594.65594,696.5111,396.19864,666.16406,443.42883
696.5111,396.19864,666.16406,443.42883,910.1681,547.12366,929.07996,624.437
910.3441,547.0898,929.31866,624.4872,817.468,675.4239,901.84906,784.1118
817.468,675.4239,901.84906,784.1118,590.9592,514.6942,620.53516,594.6875
590.9592,514.6942,620.53516,594.6875,696.5837,395.97083,666.3333,443.40152
696.5837,395.97083,666.3333,443.40152,910.3441,547.0898,929.31866,624.4872
910.34045,547.35864,929.5366,624.525,817.5895,675.3951,902.0041,784.0725
817.5895,675.3951,902.0041,784.0725,591.0955,514.66486,620.6734,594.649
910.4767,547.1527,929.7376,624.5709,817.73114,675.348,902.11646,784.0315
817.73114,675.348,902.11646,784.0315,591.1356,514.83374,620.93555,594.6363
817.8611,675.2919,902.2957,783.98035,591.32196,514.6691,621.13367,594.65344
818.01794,675.33575,902.47723,783.98236,591.5229,514.6783,621.18335,594.6335
591.5229,514.6783,621.18335,594.6335,697.17487,395.84842,666.98755,443.44717
818.13354,675.35645,902.6883,783.974,591.6989,514.69977,621.5088,594.6342
591.6989,514.69977,621.5088,594.6342,697.3695,395.8805,667.0958,443.44135
818.2241,675.38,902.8642,783.94434,591.8701,514.72064,621.6643,594.61145
591.8701,514.72064,621.6643,594.61145,697.5959,395.98846,667.34717,443.45032
818.3386,675.4044,903.0126,783.9126,592.0187,514.74225,621.8248,594.6304
818.47925,675.3816,903.17004,783.9105,592.0855,514.65814,621.95605,594.5908
592.0855,514.65814,621.95605,594.5908,697.7466,395.9644,667.6896,443.47488
818.6262,675.38324,903.33673,783.8988,592.17865,514.6288,622.0595,594.5711
911.7065,547.4022,931.04224,624.2939,818.7801,675.3912,903.56274,783.86584
818.7801,675.3912,903.56274,783.86584,592.1676,514.6137,622.28204,594.5506
592.1676,514.6137,622.28204,594.5506,697.85846,395.8759,667.9793,443.3953
697.85846,395.8759,667.9793,443.3953,911.7065,547.4022,931.04224,624.2939
912.31055,547.1695,931.26965,624.2588,818.88184,675.3971,903.75415,783.9468
818.88184,675.3971,903.75415,783.9468,592.5177,514.62317,622.5733,594.55493
592.5177,514.62317,622.5733,594.55493,698.1364,395.93384,668.16003,443.367
698.1364,395.93384,668.16003,443.367,912.31055,547.1695,931.26965,624.2588
912.4773,547.1578,931.50684,624.29846,818.9845,675.3692,903.884,783.89954
818.9845,675.3692,903.884,783.89954,592.6243,514.68585,622.6637,594.56
592.6243,514.68585,622.6637,594.56,698.45013,395.88907,668.3373,443.30673
698.45013,395.88907,668.3373,443.30673,912.4773,547.1578,931.50684,624.29846
819.2716,675.34314,904.01324,783.88983,592.78345,514.7276,622.7713,594.528
592.78345,514.7276,622.7713,594.528,698.6074,395.89246,668.65955,443.2532
819.4338,675.3092,904.1865,783.8621,592.9157,514.73206,622.9553,594.54504
592.9157,514.73206,622.9553,594.54504,698.7477,395.91364,668.8379,443.3072
819.5964,675.2866,904.4505,783.8364,593.062,514.69775,623.15485,594.5917
913.13403,546.9903,932.2675,624.22723,819.7789,675.32214,904.6726,783.87384
819.7789,675.32214,904.6726,783.87384,593.234,514.6596,623.31793,594.5574
593.234,514.6596,623.31793,594.5574,698.9346,395.89047,669.18976,443.33133
698.9346,395.89047,669.18976,443.33133,913.13403,546.9903,932.2675,624.22723
820.0063,675.4238,904.8648,783.87854,593.4924,514.64166,623.60675,594.5843
593.4924,514.64166,623.60675,594.5843,699.0464,395.90637,669.4607,443.4332
820.11096,675.43146,905.0376,783.8804,593.6205,514.57935,623.7955,594.6093
593.6205,514.57935,623.7955,594.6093,699.3736,395.7976,669.3026,443.36676
820.2177,675.4433,905.18805,783.88776,593.7242,514.5422,623.95483,594.6252
593.7242,514.5422,623.95483,594.6252,699.6026,395.6818,669.6527,443.3213
820.36646,675.41394,905.3566,783.82684,593.84656,514.6062,624.0961,594.65314
593.84656,514.6062,624.0961,594.65314,699.7899,395.7728,669.68164,443.37
820.50073,675.3978,905.5716,783.8372,593.98035,514.69086,624.28186,594.6711
593.98035,514.69086,624.28186,594.6711,699.9277,395.91772,669.8392,443.37698
