pt1_cam1_X,pt1_cam1_Y,pt1_cam2_X,pt1_cam2_Y,pt2_cam1_X,pt2_cam1_Y,pt2_cam2_X,pt2_cam2_Y
666.1515,501.82318,584.0051,592.78815,898.2833,477.12064,899.12787,552.951
898.3346,477.15094,899.26215,552.98413,822.75336,638.8473,886.1946,754.21204
822.75336,638.8473,886.1946,754.21204,580.6911,660.26044,553.12134,796.72687
898.5088,477.19537,899.4497,553.0019,822.9664,638.87164,886.2513,754.2306
822.9664,638.87164,886.2513,754.2306,580.7953,660.2828,553.2271,796.6884
898.70337,477.21167,899.21783,553.0642,822.9677,638.8377,886.3507,754.2171
822.9677,638.8377,886.3507,754.2171,580.9584,660.342,553.2834,796.68005
898.8993,477.24585,899.4237,553.0486,823.14795,638.8667,886.54584,754.2481
823.14795,638.8667,886.54584,754.2481,581.0659,660.3612,553.4251,796.7499
581.0659,660.3612,553.4251,796.7499,666.5338,501.86606,584.311,592.7059
666.5338,501.86606,584.311,592.7059,898.8993,477.24585,899.4237,553.0486
899.03735,477.23917,899.82355,553.02655,823.1809,638.8516,886.7583,754.24084
823.1809,638.8516,886.7583,754.24084,581.1649,660.3972,553.4228,796.7699
899.053,477.2732,899.94385,553.0166,823.3001,638.8905,886.91223,754.2025
823.3001,638.8905,886.91223,754.2025,581.24316,660.4062,553.83734,796.7609
581.24316,660.4062,553.83734,796.7609,666.796,501.93582,584.45166,592.8481
666.796,501.93582,584.45166,592.8481,899.053,477.2732,899.94385,553.0166
899.1113,477.28943,900.0263,553.06384,823.42126,638.91956,887.0414,754.1847
823.42126,638.91956,887.0414,754.1847,581.3807,660.4312,553.9037,796.7834
581.3807,660.4312,553.9037,796.7834,666.8226,501.91022,584.63855,592.83563
666.8226,501.91022,584.63855,592.83563,899.1113,477.28943,900.0263,553.06384
899.16254,477.31088,900.16296,553.07434,823.4332,638.887,887.1885,754.16486
823.4332,638.887,887.1885,754.16486,581.5452,660.4437,554.0985,796.78375
581.5452,660.4437,554.0985,796.78375,666.949,501.89062,584.8005,592.88544
666.949,501.89062,584.8005,592.88544,899.16254,477.31088,900.16296,553.07434
899.18176,477.35287,900.2861,553.0944,823.7303,638.91565,887.3464,754.14575
823.7303,638.91565,887.3464,754.14575,581.70184,660.46735,554.18616,796.78143
581.70184,660.46735,554.18616,796.78143,667.0683,501.84283,584.8521,592.987
667.0683,501.84283,584.8521,592.987,899.18176,477.35287,900.2861,553.0944
899.3396,477.39426,900.49,553.0734,823.79346,638.9621,887.4353,754.18036
823.79346,638.9621,887.4353,754.18036,581.81866,660.4787,554.3507,796.7793
581.81866,660.4787,554.3507,796.7793,667.1331,501.90826,585.06433,592.88434
667.1331,501.90826,585.06433,592.88434,899.3396,477.39426,900.49,553.0734
899.506,477.35117,900.75964,553.0388,823.89435,639.00104,887.6117,754.20764
823.89435,639.00104,887.6117,754.20764,581.9367,660.49005,554.45416,796.8278
581.9367,660.49005,554.45416,796.8278,667.18256,502.0481,585.1955,592.87976
