cam1_X,cam1_Y,cam2_X,cam2_Y
315.187213,146.925156,423.074438,305.967458
2059.622961,190.569815,2019.824192,232.55909
2057.30569,949.922714,2054.384901,1012.515189
323.502724,947.621615,453.147958,994.902782
316.675999,150.137296,239.441827,247.448229
2058.83682,188.802241,1934.61835,164.64889
2056.978549,948.872914,1950.373345,1066.773414
322.752649,947.930779,237.806093,1040.201825
