pt1filt_X,pt1filt_Y,pt1filt_Z,pt2filt_X,pt2filt_Y,pt2filt_Z
-0.489094,0.204565,-0.169250,-1.295335,-0.244131,-0.559698
-0.522479,0.212538,-0.147351,-1.329525,-0.235357,-0.537172
-0.557898,0.219353,-0.125316,-1.365651,-0.227541,-0.514771
-0.595428,0.225020,-0.103250,-1.403758,-0.220746,-0.492598
-0.635065,0.229599,-0.081256,-1.443818,-0.214987,-0.470741
-0.676725,0.233195,-0.059430,-1.485722,-0.210234,-0.449281
-0.720244,0.235948,-0.037860,-1.529286,-0.206416,-0.428284
-0.765383,0.238023,-0.016634,-1.574257,-0.203430,-0.407811
-0.811833,0.239598,0.004166,-1.620321,-0.201150,-0.387916
-0.859232,0.240856,0.024459,-1.667119,-0.199436,-0.368648
-0.907175,0.241971,0.044168,-1.714258,-0.198144,-0.350052
-0.955230,0.243099,0.063216,-1.761330,-0.197134,-0.332172
-1.002960,0.244370,0.081528,-1.807925,-0.196275,-0.315051
-1.049934,0.245876,0.099030,-1.853653,-0.195450,-0.298732
-1.095743,0.247670,0.115651,-1.898150,-0.194558,-0.283256
-1.140021,0.249769,0.131324,-1.941098,-0.193516,-0.268667
-1.182447,0.252158,0.145981,-1.982227,-0.192262,-0.255010
-1.222759,0.254797,0.159559,-2.021319,-0.190756,-0.242331
-1.260758,0.257631,0.171995,-2.058215,-0.188982,-0.230679
-1.296303,0.260594,0.183226,-2.092805,-0.186948,-0.220109
-1.329319,0.263610,0.193189,-2.125036,-0.184687,-0.210677
-1.359788,0.266599,0.201821,-2.154904,-0.182249,-0.202446
-1.387752,0.269471,0.209054,-2.182460,-0.179702,-0.195485
-1.413306,0.272133,0.214820,-2.207797,-0.177126,-0.189866
-1.436595,0.274484,0.219049,-2.231055,-0.174610,-0.185670
-1.457801,0.276426,0.221665,-2.252409,-0.172242,-0.182980
-1.477139,0.277862,0.222592,-2.272056,-0.170111,-0.181888
-1.494831,0.278713,0.221749,-2.290202,-0.168293,-0.182490
-1.511096,0.278925,0.219052,-2.307040,-0.166845,-0.184887
-1.526125,0.278488,0.214414,-2.322735,-0.165800,-0.189184
-1.540062,0.277442,0.207745,-2.337395,-0.165153,-0.195493
-1.552991,0.275886,0.198952,-2.351065,-0.164860,-0.203928
-1.564922,0.273973,0.187939,-2.363711,-0.164835,-0.214610
-1.575792,0.271902,0.174609,-2.375219,-0.164960,-0.227661
-1.585467,0.269894,0.158864,-2.385410,-0.165092,-0.243208
-1.593761,0.268166,0.140611,-2.394049,-0.165084,-0.261374
-1.600451,0.266903,0.119762,-2.400875,-0.164800,-0.282277
-1.605303,0.266234,0.096242,-2.405620,-0.164130,-0.306025
