pt1_X+-CI,pt1_Y+-CI,pt1_Z+-CI,pt2_X+-CI,pt2_Y+-CI,pt2_Z+-CI
0.015990,0.004595,0.026603,0.012598,0.004832,0.025345
0.014682,0.004582,0.025215,0.013926,0.004577,0.025549
0.015167,0.005119,0.025593,0.012849,0.004882,0.026216
0.015786,0.005398,0.026245,0.013217,0.004849,0.025679
0.014790,0.004857,0.025543,0.011910,0.004679,0.023743
0.014761,0.004946,0.024919,0.012105,0.004423,0.023497
0.014971,0.005225,0.025106,0.012626,0.004742,0.026310
0.014844,0.004457,0.025579,0.012906,0.004738,0.024497
0.015774,0.004710,0.027117,0.013229,0.004875,0.026050
0.015194,0.004888,0.027138,0.012893,0.004797,0.024969
0.015835,0.004199,0.027000,0.012664,0.004396,0.025117
0.014794,0.004476,0.025183,0.012401,0.004773,0.024504
0.014089,0.004434,0.023501,0.012094,0.004513,0.023613
0.014104,0.004787,0.024683,0.012086,0.004574,0.023371
0.013619,0.004686,0.023106,0.011893,0.004975,0.023204
0.014044,0.004813,0.023693,0.013049,0.004503,0.025852
0.015114,0.004873,0.027477,0.012413,0.004688,0.024028
0.015999,0.004541,0.026407,0.011993,0.004651,0.025152
0.014340,0.004727,0.024735,0.012331,0.004480,0.024277
0.015688,0.004957,0.027523,0.012264,0.004473,0.024148
0.014843,0.005000,0.025992,0.012382,0.005004,0.025028
0.015483,0.004896,0.027185,0.012689,0.004565,0.025514
0.014791,0.004791,0.025617,0.012552,0.004581,0.025822
0.014474,0.004830,0.025730,0.013315,0.004354,0.027089
0.015666,0.004803,0.027496,0.012895,0.004890,0.026034
0.013866,0.005127,0.025173,0.012628,0.004515,0.026185
0.014545,0.005050,0.026428,0.012964,0.004877,0.026942
0.015205,0.004845,0.026967,0.014064,0.004798,0.029470
0.015540,0.004992,0.027282,0.012952,0.004654,0.026057
0.015686,0.004790,0.027872,0.013518,0.004450,0.029175
0.015181,0.004756,0.027307,0.012269,0.005274,0.026300
0.013974,0.004783,0.025796,0.013130,0.005050,0.027562
0.014428,0.004917,0.026317,0.012568,0.004658,0.027429
0.015041,0.005065,0.027731,0.012770,0.004786,0.027466
0.015141,0.005151,0.028565,0.013428,0.004919,0.029794
0.015000,0.004966,0.027839,0.012643,0.004974,0.027657
0.015606,0.005288,0.028083,0.013117,0.004950,0.028149
0.015561,0.004836,0.029300,0.012171,0.004807,0.027680
0.014515,0.005229,0.027269,0.012968,0.005011,0.028507
0.014791,0.005147,0.028227,0.013470,0.005170,0.029858
0.015212,0.004908,0.028437,0.012574,0.004900,0.028876
0.015138,0.005158,0.030009,0.013209,0.005044,0.028997
0.015136,0.005426,0.028519,0.011926,0.005375,0.027402
0.015117,0.005290,0.028819,0.012771,0.005298,0.029057
0.014872,0.005385,0.028726,0.012352,0.005394,0.028443
0.014405,0.005266,0.027692,0.012594,0.005013,0.029029
0.013173,0.004940,0.027657,0.013182,0.005118,0.029773
0.013636,0.005018,0.026151,0.012819,0.004925,0.029786
0.014760,0.004940,0.029173,0.012621,0.005122,0.029301
0.014375,0.004828,0.027500,0.013066,0.005127,0.030868
0.015307,0.004869,0.031053,0.011757,0.004735,0.027195
0.014456,0.005079,0.028318,0.012119,0.005354,0.029390
0.014550,0.004970,0.029890,0.012790,0.005384,0.029476
0.014990,0.005512,0.029155,0.012664,0.005124,0.029966
0.015743,0.005267,0.031317,0.012456,0.005316,0.030171
0.014493,0.004649,0.028685,0.012491,0.004904,0.030041
0.014351,0.005429,0.029377,0.012869,0.005060,0.031505
0.014150,0.005020,0.029442,0.013074,0.005283,0.031438
0.015488,0.005041,0.031635,0.013743,0.005413,0.032481
0.015883,0.004920,0.031312,0.012172,0.005453,0.029502
0.014225,0.004954,0.029491,0.011848,0.004526,0.029415
0.013813,0.005031,0.030040,0.012824,0.005030,0.031749
0.013941,0.005020,0.029036,0.012556,0.005257,0.030387
0.013911,0.004708,0.028473,0.012116,0.005317,0.028231
0.014145,0.005322,0.029895,0.012802,0.005462,0.030773
0.014305,0.004930,0.030610,0.012539,0.005107,0.031487
0.013273,0.004964,0.027251,0.012972,0.005146,0.030910
0.014910,0.005513,0.030659,0.013636,0.004903,0.034173
0.014019,0.004585,0.029743,0.011792,0.004928,0.029381
0.013522,0.004881,0.028562,0.011364,0.004737,0.029353
0.014518,0.005124,0.031141,0.011555,0.005278,0.028726
