pt1_X,pt1_Y,pt1_Z,pt2_X,pt2_Y,pt2_Z
0.795245,0.245377,0.703769,0.014421,-0.310997,0.380489
0.779359,0.251662,0.726766,-0.003533,-0.303704,0.406645
0.763363,0.258677,0.751921,-0.018988,-0.296372,0.430983
0.748168,0.265670,0.778414,-0.032129,-0.288259,0.453352
0.737225,0.272505,0.798826,-0.043831,-0.280181,0.475186
0.728982,0.279626,0.817116,-0.052972,-0.272492,0.493775
0.723120,0.287362,0.830066,-0.061897,-0.265779,0.512645
0.715020,0.294859,0.845286,-0.070653,-0.259294,0.530916
0.707847,0.301808,0.858897,-0.079321,-0.253033,0.548338
0.701918,0.307610,0.870251,-0.088229,-0.248107,0.565748
0.693887,0.313585,0.881122,-0.098225,-0.243412,0.582038
0.685601,0.318668,0.890947,-0.108263,-0.239353,0.596934
0.674578,0.323675,0.902008,-0.118879,-0.235572,0.610981
0.661794,0.329462,0.913722,-0.129609,-0.231735,0.622656
0.650255,0.335249,0.923060,-0.142474,-0.227353,0.636473
0.636503,0.341249,0.934395,-0.153047,-0.218949,0.636550
0.622743,0.347655,0.944499,-0.166942,-0.211588,0.644744
0.609634,0.355278,0.953022,-0.179783,-0.203359,0.653387
0.599877,0.359818,0.956403,-0.190646,-0.195081,0.654225
0.593772,0.354287,0.949646,-0.203313,-0.193849,0.648910
0.581298,0.353844,0.942527,-0.215304,-0.196210,0.644270
0.567246,0.353782,0.937519,-0.224953,-0.200652,0.637359
0.553004,0.353342,0.932556,-0.233440,-0.204538,0.628173
0.544006,0.352409,0.920373,-0.242556,-0.207836,0.619785
0.539171,0.350521,0.901873,-0.249880,-0.209358,0.606737
0.535817,0.348907,0.879452,-0.254623,-0.210645,0.586468
0.534710,0.347633,0.849681,-0.254969,-0.211166,0.553990
0.535287,0.346507,0.813761,-0.254395,-0.211778,0.517016
0.536570,0.345449,0.772086,-0.252547,-0.212722,0.472307
0.535979,0.343322,0.727262,-0.252604,-0.213748,0.423548
0.533248,0.339886,0.680426,-0.254223,-0.215677,0.371412
0.527816,0.333855,0.633976,-0.260093,-0.220576,0.323991
0.519441,0.324592,0.588658,-0.267695,-0.228027,0.274145
0.508231,0.313330,0.543892,-0.276982,-0.237175,0.223292
0.494869,0.300622,0.498356,-0.288598,-0.247586,0.171698
0.479194,0.287398,0.453253,-0.301654,-0.259109,0.119697
0.461033,0.273157,0.410126,-0.314967,-0.271687,0.066246
0.442350,0.258621,0.365552,-0.331054,-0.283508,0.016681
0.422306,0.244550,0.325476,-0.348954,-0.294978,-0.029373
0.404714,0.230799,0.284262,-0.367356,-0.305739,-0.072386
0.386386,0.217355,0.247529,-0.384919,-0.314588,-0.114426
0.370495,0.206086,0.209183,-0.402951,-0.322748,-0.151202
0.355252,0.196393,0.171182,-0.419192,-0.329708,-0.188768
0.339747,0.187262,0.137560,-0.435323,-0.334926,-0.225372
0.325466,0.179228,0.104019,-0.449963,-0.338726,-0.263417
0.310759,0.171545,0.073788,-0.463142,-0.342445,-0.300935
0.296527,0.165596,0.043458,-0.476182,-0.345908,-0.336003
0.282368,0.159926,0.014120,-0.492287,-0.346989,-0.365040
0.268936,0.155502,-0.012794,-0.508428,-0.346910,-0.392312
0.258136,0.151480,-0.040166,-0.522645,-0.346415,-0.418587
0.248686,0.147119,-0.067480,-0.533785,-0.346188,-0.447095
0.239978,0.143932,-0.093209,-0.543292,-0.346049,-0.472582
0.228632,0.143421,-0.103480,-0.550896,-0.345125,-0.499670
0.221920,0.143158,-0.125221,-0.559011,-0.342720,-0.524011
0.215373,0.142786,-0.145502,-0.566285,-0.340040,-0.546143
0.209679,0.141865,-0.166209,-0.573180,-0.337059,-0.567028
0.203105,0.141251,-0.185630,-0.578811,-0.334580,-0.591105
0.196489,0.141781,-0.206092,-0.585454,-0.331588,-0.616177
0.190945,0.142474,-0.230856,-0.591579,-0.329388,-0.642765
0.185351,0.143624,-0.256706,-0.600503,-0.327098,-0.661451
0.178945,0.143137,-0.281075,-0.608425,-0.325987,-0.683823
0.168799,0.141574,-0.301166,-0.618294,-0.326212,-0.705415
0.156187,0.138954,-0.317552,-0.631074,-0.326684,-0.726210
0.140995,0.134772,-0.331143,-0.646336,-0.328487,-0.743295
0.125268,0.130021,-0.346908,-0.662541,-0.330934,-0.759437
0.106392,0.125273,-0.358877,-0.679358,-0.334095,-0.775166
0.086704,0.119830,-0.370262,-0.698057,-0.337462,-0.789046
0.065638,0.115761,-0.380262,-0.717834,-0.340976,-0.800926
0.044360,0.111163,-0.390580,-0.738804,-0.344348,-0.815563
0.023209,0.104970,-0.402946,-0.763320,-0.347432,-0.824394
-0.001500,0.098776,-0.410598,-0.787685,-0.350171,-0.836307
-0.026940,0.092947,-0.416521,-0.814537,-0.352965,-0.840313
-0.054719,0.088122,-0.414860,-0.842818,-0.354784,-0.841190
-0.083271,0.084401,-0.411811,-0.873682,-0.355909,-0.835652
-0.111544,0.082969,-0.408186,-0.904902,-0.356412,-0.828123
-0.140520,0.082916,-0.402268,-0.937873,-0.355164,-0.813088
-0.173456,0.085269,-0.385550,-0.969245,-0.353096,-0.799190
-0.202897,0.089894,-0.372601,-0.998647,-0.350986,-0.780939
-0.232965,0.096204,-0.353921,-1.026872,-0.345752,-0.762501
-0.258663,0.104646,-0.337549,-1.055325,-0.337895,-0.740396
-0.283050,0.115116,-0.319452,-1.080340,-0.328165,-0.723599
-0.305752,0.127422,-0.302190,-1.104308,-0.318480,-0.699167
-0.328779,0.140625,-0.282786,-1.126587,-0.308340,-0.676917
-0.351547,0.154154,-0.263558,-1.149614,-0.297491,-0.654077
-0.372442,0.166411,-0.247031,-1.173781,-0.285620,-0.634232
-0.396656,0.178233,-0.226253,-1.199589,-0.273396,-0.614595
-0.423851,0.188609,-0.200951,-1.226599,-0.261524,-0.596444
-0.450745,0.197643,-0.181599,-1.255395,-0.250321,-0.577765
-0.480380,0.206593,-0.160847,-1.287122,-0.240415,-0.555404
-0.511914,0.213564,-0.141316,-1.320074,-0.232452,-0.533660
