,Year,Month,Day,Trial,Ablation,Darkness,Flow,Fish,Tailbeat_Num,X_Distance,Y_Distance,Z_Distance,Distance,Angle,Yaw Heading_Diff,Pitch Heading_Diff,Speed_Diff,Sync
0,2021,03,25,01,N,N,0,individual1xindividual2,0,4.361573847939101,23.23197472470822,8.723273718143245,23.63785049534978,79.33792577444174,57.131075005016974,32.11425699056031,2.761810070454522,0.47903474140039143
1,2021,03,25,01,N,N,0,individual1xindividual2,1,2.680121176809425,23.98890960493833,7.546508768003765,24.13816135409416,83.6276943152978,16.263029494370333,27.31347144128659,-1.4787522287771249,0.44343445375111434
2,2021,03,25,01,N,N,0,individual1xindividual2,2,1.2304386204644577,24.118080833297597,7.45437138630362,24.149447245852386,87.08034402514755,4.350890050762918,14.830246227004386,6.218088255704214,0.314386246030107
3,2021,03,25,01,N,N,0,individual1xindividual2,3,0.43082008881085565,23.392283541775527,7.029193057893662,23.39625045274873,88.94842231192608,9.046360179612261,11.396889555435656,-0.6513704811787915,0.3540884452633616
4,2021,03,25,01,N,N,0,individual1xindividual2,4,0.13972950667917747,21.141896570853426,7.393129452691698,21.142358310928813,89.5918790795206,36.84259114126888,15.451536504631447,-10.394440560728796,0.4048582944702751
5,2021,03,25,01,N,N,0,individual1xindividual2,5,1.7175172524711328,17.738720076845734,5.007137908234659,17.821673756334615,84.33616040948812,57.33602301486308,27.382758772875935,-16.709047765080097,0.24791333544759886
6,2021,03,25,01,N,N,0,individual1xindividual2,6,4.059179110435523,12.607502522114928,-4.654753688596782,13.244850127341207,73.17540468017704,76.5006488434717,55.414381598648276,-110.4565090685166,0.6675689606420868
7,2021,03,25,01,N,N,0,individual1xindividual2,7,,,,,,,,,1.0
0,2021,03,25,01,N,N,0,individual1xindividual3,0,13.647601551721374,20.447824962480837,13.855032575788773,24.583949516113194,56.276788798529914,23.737713732290974,20.632035101408203,0.9693218335497098,0.9134927167562557
1,2021,03,25,01,N,N,0,individual1xindividual3,1,,,,,,,,,
2,2021,03,25,01,N,N,0,individual1xindividual3,2,,,,,,,,,
3,2021,03,25,01,N,N,0,individual1xindividual3,3,,,,,,,,,
4,2021,03,25,01,N,N,0,individual1xindividual3,4,6.274490278276144,20.99946002732485,12.966500766558507,21.91680975168138,73.36966397539334,11.95880533879793,11.955989111867018,-3.5200976063742337,0.7341785600155669
5,2021,03,25,01,N,N,0,individual1xindividual3,5,5.602331930741525,19.072754605912042,13.72961542720287,19.878533429796704,73.60605681314088,28.08766464617705,9.896057675766839,-10.189290900530427,0.2784846628993958
6,2021,03,25,01,N,N,0,individual1xindividual3,6,,,,,,,,,0.2784846628993958
7,2021,03,25,01,N,N,0,individual1xindividual3,7,,,,,,,,,0.2784846628993958
0,2021,03,25,01,N,N,0,individual1xindividual4,0,15.211701362969928,27.051349578357225,14.058784061307467,31.035002374201113,60.648397657854865,19.368520589477257,31.444779511626916,-4.779011487805417,0.561989390139198
1,2021,03,25,01,N,N,0,individual1xindividual4,1,15.786573231588578,23.50944137285134,10.655346584906173,28.31801066564958,56.03620099096462,32.79107579722673,48.24512238473992,-14.805041725926882,0.561989390139198
2,2021,03,25,01,N,N,0,individual1xindividual4,2,,,,,,,,,0.561989390139198
3,2021,03,25,01,N,N,0,individual1xindividual4,3,,,,,,,,,0.4620251257403851
4,2021,03,25,01,N,N,0,individual1xindividual4,4,0.19969033610805162,11.38321335572491,0.7856352133969344,11.384964757621736,89.30492152608934,170.05942741473143,36.293000653411546,-4.532296379079473,0.19770693291031277
5,2021,03,25,01,N,N,0,individual1xindividual4,5,-5.898101814894557,10.970767892914173,-0.3680987104034071,12.455735754224195,117.8368781285496,161.87762284392534,14.15495915487494,-8.7711912457199,0.3824639678865093
6,2021,03,25,01,N,N,0,individual1xindividual4,6,-12.25671297603477,10.148998875806356,-0.7599695658992692,15.913176652008165,140.05506611994974,164.94364283439478,17.585154854658107,-3.7238659065787814,0.31539466931592486
7,2021,03,25,01,N,N,0,individual1xindividual4,7,-18.532978156588097,9.50525005792609,-1.0621350897129687,20.828371468174737,152.6092602171052,166.6277348674487,23.451556749250116,1.185335636479396,0.3320386283549513
0,2021,03,25,01,N,N,0,individual1xindividual5,0,7.800099983411664,9.991657147150763,15.935330182203657,12.675755294948997,51.94821438394762,37.91351360961796,16.04652077357429,3.415339811943126,0.26572884743905983
1,2021,03,25,01,N,N,0,individual1xindividual5,1,6.601495209257188,9.79395539077339,14.80345743291214,11.811066894836586,56.07233444673434,8.537113727557358,10.474976289806023,5.190039333368029,0.43408444164269516
2,2021,03,25,01,N,N,0,individual1xindividual5,2,5.0676497172287345,8.8832746321304,14.089171189726384,10.227103296944836,60.34131087473751,15.944513443733266,9.422717575263093,3.7483976156467955,0.4931088158942561
