,Year,Month,Day,Trial,Tailbeat_Num,Ablation,Darkness,Flow,X_Center,Y_Center,X_SD,Y_SD,Z_SD,School_Polar,School_Speed,School_TB_Freq,NND,Area
0,2021,03,25,01,0,N,N,0,0.23953024914488816,-0.16970859586558382,8.880320840762908,8.301134191576262,10.524659326266782,0.4605073137310699,10.558845049438949,4.103963206904384,11.468024013377486,238.66717781319466
1,2021,03,25,01,1,N,N,0,0.11046105270147134,-0.20485017980569437,10.452163768623553,7.786019309184689,10.066385012942709,0.4606228926141209,14.776793402089135,3.362755700175536,194.84663238215967,228.68747825521916
2,2021,03,25,01,2,N,N,0,0.07855935698949011,-0.18407201776363782,10.761376842808476,7.685065788403091,8.42102756046904,0.350933068203699,78.555217107776,2.127573659857494,2113.069172649184,183.79716813206107
3,2021,03,25,01,3,N,N,0,-0.061655964694696634,-0.26357807173099423,11.934571419373333,7.888213814691267,7.762301501108696,0.4534145612314683,39.2824353043129,2.683492889350364,651.8635321916825,194.26567563123427
4,2021,03,25,01,4,N,N,0,-0.23978470719528633,-0.39631091946557584,10.696765465357961,7.554991078603585,6.8704976053688425,0.492341756905245,22.61488545492104,3.0754690859685665,285.33266394259533,151.72313218394015
5,2021,03,25,01,5,N,N,0,-0.3562260575665611,-0.41289911814223607,10.949734670396314,6.791243086724074,6.371320367883545,0.5831262228587368,12.282291278398704,2.2289281102458993,10.95951597189731,132.95474470326522
6,2021,03,25,01,6,N,N,0,-0.4169674088623517,-0.2776706486555065,10.520649334429143,5.704325841071319,5.860778482917554,0.46555248833098883,28.172667012371686,3.168720928593826,1471.4327913870823,134.47150271361218
7,2021,03,25,01,7,N,N,0,-0.5460879049981259,-0.32368031459822943,10.6612901800607,5.691189311770476,5.444869824957862,0.4033323897810594,55.10612381977711,1.8680344095516748,2108.9455002582704,87.18255359501376
8,2021,03,25,01,8,N,N,0,-0.679949569978044,-0.30618216084932676,10.481601415008473,5.6514577067380785,5.252416916700902,0.30124719843338293,51.44506018084391,2.0193973133748564,1469.222101833615,98.51661448036603
9,2021,03,25,01,9,N,N,0,-0.7108789820941653,-0.14240865413524303,10.297756385100035,6.220112983762711,4.858770036346495,0.10298203375507396,8.627303590428893,2.8960421332195843,1742.9300074304538,109.99534042912686
10,2021,03,25,01,10,N,N,0,-0.697144479452561,-0.06920158408409192,10.805490888360344,5.916054164205206,6.004932205179926,0.12300237328141554,42.987640345634425,1.7770251952733727,1836.6330421420173,115.63780207760097
11,2021,03,25,01,11,N,N,0,-0.7639343493281723,0.023306556993219898,11.188721659913583,4.809460780831937,12.59264377604616,0.35091761035277386,39.3630155915661,2.0825074539562514,1017.9869156769478,253.64135389922123
12,2021,03,25,01,12,N,N,0,-0.7556323657416342,-0.03211538008869909,10.223406668998766,4.82031005834437,16.796435657188635,0.310338787070536,27.67074316892977,3.060808690202181,1018.9774075378652,307.61269393661365
13,2021,03,25,01,13,N,N,0,-0.6735138368443695,0.29517044389677216,10.707688588366224,4.836329030863493,19.128345760992026,0.24779488571077105,211.11932088599963,3.195378068192612,3757.0644260080576,161.77732236613292
0,2020,07,28,11,0,N,N,0,0.011250698209363657,0.01760665268090485,1.7407293666985824,0.8140312919582285,0.47430593849816055,0.23195787935072412,0.6489258321128824,2.2969113135178496,0.7428999742557189,0.0868855416588226
1,2020,07,28,11,1,N,N,0,0.028548684434329685,0.01757845128718121,1.7572250259580309,0.8154395557051758,0.4543190229481507,0.32474398262708865,2.239527518637208,1.5884149790690638,640.2563734349924,0.08621526890985742
2,2020,07,28,11,2,N,N,0,0.04202769617919029,0.00999262685322619,1.724574968596072,0.8548097335825645,0.5913228459042162,0.319787622027364,3.6960717621568,1.655267951479112,914.466126006461,0.09059699415079907
3,2020,07,28,11,3,N,N,0,0.03498826757875322,0.01010977142920705,1.567826315987532,0.941521518452577,0.6415113921378657,0.17658939204744606,6.36274873839001,1.791780122959819,275.0465377444733,0.12372539560843179
4,2020,07,28,11,4,N,N,0,0.033190963580596804,0.006944078314439201,1.3214075006841632,0.9672257321035973,0.6456620657594615,0.14125011576913185,2.674121813941509,1.6049634937804893,92.34651595173888,0.12000575067303589
5,2020,07,28,11,5,N,N,0,0.030174391130225908,0.007457884920496027,1.078065774812712,0.9185724726313745,0.5548398828409504,0.14084299500905867,0.6461510605786781,1.5228553424616609,0.8879540012171999,0.06953402291982529
6,2020,07,28,11,6,N,N,0,0.026297461835278924,0.005020664334760718,0.9391113128240635,0.9039240477919436,0.4389323992231374,0.11105096032565717,0.5816207256637763,2.1644610054221034,0.9119304909219791,0.0719091213567812
7,2020,07,28,11,7,N,N,0,0.019630601856678725,0.00363855437299708,0.8727412163380749,0.8563138958253271,0.35700947519717563,0.02798806929307044,0.6839308554888026,2.420859150994539,0.8162768123618122,0.08528402822705525
8,2020,07,28,11,8,N,N,0,0.007475113603385683,-0.0016645462492836174,0.8884629400013004,0.8223329633094385,0.30119988591804,0.12199781732264404,0.9216003981317666,3.07502516688924,0.7488971875189376,0.09533711858163446
9,2020,07,28,11,9,N,N,0,-0.008372187056792766,-0.0023112318989926884,1.043194876888778,0.7846248859423004,0.24372993583875802,0.23497540551793777,1.2794517426575844,1.7141294807601564,366.18600514766314,0.09344457798271281
10,2020,07,28,11,10,N,N,0,-0.02665099548920906,0.00038512416812569954,1.2679424281141123,0.7310658187135406,0.2187444164180842,0.2818779073816095,3.0666718612794552,1.5168551844533882,1005.6326526108611,0.08338582084270324
