,Year,Month,Day,Trial,Ablation,Darkness,Flow,X_Center,Y_Center,X_SD,Y_SD,School_Speed,School_TB_Freq,NND
11,2021,07,07,17,N,Y,2,1026.013448673191,472.6498124873282,561.3678454815437,561.3678454815437,15.535071258989607,2.180130784071001,
12,2021,07,07,17,N,Y,2,1086.6997738422233,447.8737506261775,586.6908660855506,586.6908660855506,8.581476906716386,1.9097201380414213,
13,2021,07,07,17,N,Y,2,1042.2658972431077,451.47491604010025,564.5749246382813,564.5749246382813,4.659553083973252,1.9200908883551766,
14,2021,07,07,17,N,Y,2,988.7051987468672,442.9827644110276,608.0110216283377,608.0110216283377,7.611351465287081,1.6851859181882431,
15,2021,07,07,17,N,Y,2,1121.029355889724,399.36416290726817,641.1088534981438,641.1088534981438,4.734024736427847,2.44332916078176,
16,2021,07,07,17,N,Y,2,976.811957406233,389.3721346980976,537.3071626541769,537.3071626541769,24.239389031260803,2.1522516469803166,
17,2021,07,07,17,N,Y,2,964.0136594075137,383.67856252137796,559.9050000092287,559.9050000092287,10.833235748343421,2.494601394076734,
18,2021,07,07,17,N,Y,2,1036.4464763428423,348.2203420236385,598.4351988527012,598.4351988527012,7.463995140061736,3.2387675372872735,
0,2021,10,06,39,Y,N,0,1143.2940986842107,419.5434671052631,199.67726648898355,199.67726648898355,0.19237454366353735,2.96357929136567,
1,2021,10,06,39,Y,N,0,1136.4609830827067,419.1231456766917,198.89777385952465,198.89777385952465,1.5872815377015952,2.2518303216527102,
2,2021,10,06,39,Y,N,0,1140.51375,413.81398684210524,202.83755576179652,202.83755576179652,0.19444174988982973,1.9331809254775785,
3,2021,10,06,39,Y,N,0,1148.9991663533833,411.76997650375944,188.42325835069886,188.42325835069886,2.3487134855788776,1.9721019225353247,
4,2021,10,06,39,Y,N,0,1166.5770601588076,404.30199496403355,170.13306559017224,170.13306559017224,1.9462213682249616,1.9554406271192075,
5,2021,10,06,39,Y,N,0,1185.2903692174693,390.59453842875746,143.5307384897722,143.5307384897722,2.7548205113376687,1.7213342501839375,0.3042406288375399
6,2021,10,06,39,Y,N,0,1150.1760694483648,377.50406870315277,198.67246097591854,198.67246097591854,0.5845403732278446,1.8381411059162698,0.2183576454913917
7,2021,10,06,39,Y,N,0,1146.2144259241625,370.27635920355425,210.50323142024928,210.50323142024928,0.6109083879962006,2.0408178591523636,0.26335792379645934
8,2021,10,06,39,Y,N,0,1155.0213947368422,354.06110526315786,208.535496265117,208.535496265117,0.29395863824893764,2.0270931943253423,0.2349965363106185
9,2021,10,06,39,Y,N,0,1166.435407894737,349.5785065789473,201.34780555196045,201.34780555196045,0.24919848276911552,1.9557792141878318,0.40451266080231063
10,2021,10,06,39,Y,N,0,1172.1831907894737,339.8656644736842,205.27038598021835,205.27038598021835,0.21155322642159585,2.068769218017429,0.26630609724369075
11,2021,10,06,39,Y,N,0,1175.2013486842106,332.0087039473685,217.6528081124659,217.6528081124659,0.15012417902481148,2.3664076052190577,0.2259684377930535
12,2021,10,06,39,Y,N,0,1176.669655517373,333.26295395753607,237.91249974579773,237.91249974579773,1.0995552209036736,1.9001612206029976,
13,2021,10,06,39,Y,N,0,1186.4571757518797,334.39760432330826,260.4299536286995,260.4299536286995,0.8959437754326651,1.9732298841805622,0.18072579831010896
14,2021,10,06,39,Y,N,0,1184.699552631579,340.27750000000003,280.16437725584854,280.16437725584854,0.20880528388960043,1.7088887471614067,
0,2021,07,07,16,N,Y,2,1177.8028281436111,469.4505708996645,296.2525588071614,296.2525588071614,6.120634417683165,3.7067599372212556,0.2797180835769072
1,2021,07,07,16,N,Y,2,1208.3753403199244,454.43149735281946,339.07910544733363,339.07910544733363,2.578623176726464,2.687700362200996,0.27944955538504906
2,2021,07,07,16,N,Y,2,1197.0550594273327,451.3000731126788,374.24769792247287,374.24769792247287,11.737979794848842,1.9675897839247833,0.32943102495576315
3,2021,07,07,16,N,Y,2,1246.6670585070522,434.44606856246827,438.05456709251735,438.05456709251735,5.300762487188351,2.5823851543519765,0.23487096253995746
4,2021,07,07,16,N,Y,2,1287.586585526316,437.1327368421053,471.1882894060057,471.1882894060057,3.0467441292137254,2.471371790544088,
5,2021,07,07,16,N,Y,2,1297.0720592105263,427.69579605263164,489.5307529410048,489.5307529410048,1.8484951198779995,2.309916996991384,0.2607142342608184
6,2021,07,07,16,N,Y,2,1254.4329469298248,447.5125,499.7423701606077,499.7423701606077,9.05070194595058,1.9824106377011694,
7,2021,07,07,16,N,Y,2,1346.107609837093,435.66261979949877,481.19335537777397,481.19335537777397,13.861809483191635,2.116434294734777,
8,2021,07,07,16,N,Y,2,1381.0683924336947,461.44334997268027,442.30321839493206,442.30321839493206,7.8146989288316675,2.214152945151731,
9,2021,07,07,16,N,Y,2,1367.4890851117889,461.1852189170226,419.7771005989819,419.7771005989819,2.845452650431736,3.1710055080168624,
10,2021,07,07,16,N,Y,2,1345.648209721872,439.4867476875973,391.9831985209434,391.9831985209434,3.500767470632221,2.846308354123936,
11,2021,07,07,16,N,Y,2,1177.135276110547,417.29099146189765,473.14967851150993,473.14967851150993,8.636783363107748,3.134969452448373,
12,2021,07,07,16,N,Y,2,1134.8108399542782,389.81626312639645,452.46875739222935,452.46875739222935,3.2461858381493043,3.0477587456601065,
13,2021,07,07,16,N,Y,2,1090.3376749394433,373.8889877819549,434.20173499246306,434.20173499246306,3.275204117490509,4.143827130045968,
14,2021,07,07,16,N,Y,2,1041.3504736842106,339.18021052631576,399.9738500333063,399.9738500333063,2.8514014453342877,3.4269138755980855,
0,2021,03,25,12,N,N,0,922.451133033041,286.11954488780407,338.0010815301602,338.0010815301602,2.815303887836956,3.04201874812129,0.4498348947390404
1,2021,03,25,12,N,N,0,885.0936935237578,257.536012313509,333.14540340784094,333.14540340784094,6.0231400056833,2.517896967620732,
2,2021,03,25,12,N,N,0,849.973984962406,241.38514805203297,301.28907693159954,301.28907693159954,2.192750140887519,2.3094832635059164,
3,2021,03,25,12,N,N,0,830.8548016917293,236.68780545112782,277.32716345581827,277.32716345581827,1.290994581561635,2.2073135906378436,
4,2021,03,25,12,N,N,0,833.0236799735886,249.01772024740944,272.48490398617054,272.48490398617054,0.8277819634531013,2.610252518812796,
5,2021,03,25,12,N,N,0,806.928821189802,254.58419139401204,261.17299099371905,261.17299099371905,1.285029117889575,2.3478278047383228,
6,2021,03,25,12,N,N,0,794.2553937969924,251.42820394736842,240.93783473486934,240.93783473486934,0.5567429357143471,1.9884705699201506,
7,2021,03,25,12,N,N,0,774.366116340007,251.40349107760588,232.86757257873015,232.86757257873015,0.6764746816712486,1.7402867666509996,
8,2021,03,25,12,N,N,0,755.6772045866754,253.9361773129334,211.8811814964513,211.8811814964513,0.4285893233619972,1.8538156351494985,
9,2021,03,25,12,N,N,0,737.0647431328598,265.59210367939846,176.07872332041296,176.07872332041296,1.2297615741594334,2.0001942340846823,
10,2021,03,25,12,N,N,0,696.2572011278197,271.0409097744361,158.69808442711118,158.69808442711118,0.9756888747306043,2.3413910803872606,
11,2021,03,25,12,N,N,0,667.8568862781954,265.73778665413533,153.89115318761918,153.89115318761918,1.017306761113324,2.6099712914215196,
12,2021,03,25,12,N,N,0,659.6745723684211,246.04834210526315,146.1726499891955,146.1726499891955,0.4269510101675626,2.10246902348305,
13,2021,03,25,12,N,N,0,674.6002434210527,246.0312697368421,124.85723054546736,124.85723054546736,0.3085937617951053,1.6699077498992587,
14,2021,03,25,12,N,N,0,680.9821447368422,259.76776879699247,129.223867166671,129.223867166671,0.37710540021979366,2.1009059839801973,
15,2021,03,25,12,N,N,0,678.8743353492073,289.24115639942545,150.0490723005996,150.0490723005996,4.008216960493521,2.240001216796356,
0,2021,08,03,21,Y,N,0,1495.9897673034704,341.3912934667983,177.1630112412503,177.1630112412503,1.8195070070008281,3.867147066435418,
1,2021,08,03,21,Y,N,0,1480.894708821921,316.8700607196317,143.78104525676986,143.78104525676986,2.4482035582530126,2.4788388975312237,
2,2021,08,03,21,Y,N,0,1464.7658366777196,317.22018123498634,128.28519119341703,128.28519119341703,5.32236537520102,2.1909307686370783,
3,2021,08,03,21,Y,N,0,1449.0569183655239,301.44541258672547,126.85815294247641,126.85815294247641,4.04110084860352,2.5736012968384587,
4,2021,08,03,21,Y,N,0,1440.0603092132278,324.41193274121895,145.84878762350093,145.84878762350093,6.454626673301975,2.7291907279329877,
5,2021,08,03,21,Y,N,0,1400.2196543203918,342.9954737827324,193.39700783697495,193.39700783697495,3.9222222987974114,2.677916182463396,
6,2021,08,03,21,Y,N,0,1347.308823621554,356.02971522556396,216.26558850377847,216.26558850377847,1.7926254545068998,2.4288341422860715,
7,2021,08,03,21,Y,N,0,1279.8624458724244,344.8445430233238,204.5905758947017,204.5905758947017,2.56562742335769,3.277505162623117,
8,2021,08,03,21,Y,N,0,1202.5964449042763,332.7835506429349,197.03632848246988,197.03632848246988,2.090768702328308,2.445538021384853,
9,2021,08,03,21,Y,N,0,1140.4875460526316,311.8271052631579,187.65895368275568,187.65895368275568,0.9474058105990492,2.4355948265322143,
10,2021,08,03,21,Y,N,0,1096.5354605263158,284.56992763157893,185.12757837588128,185.12757837588128,0.8125859007705436,2.0994536939920327,
11,2021,08,03,21,Y,N,0,1057.010247056697,289.980382936835,198.04939375777641,198.04939375777641,1.8848447309214107,2.3660070922858507,
12,2021,08,03,21,Y,N,0,1006.2855758075588,269.64382406619586,205.9937341855344,205.9937341855344,1.6096975299814595,2.0462081727539747,
13,2021,08,03,21,Y,N,0,948.7598167293232,246.80377349624058,211.78646021830247,211.78646021830247,1.2221874652463323,2.392588503375829,
14,2021,08,03,21,Y,N,0,897.649063283208,246.26508364661655,206.07190856158317,206.07190856158317,2.5379251348832375,2.267042995140425,
15,2021,08,03,21,Y,N,0,860.2885715220815,265.5051490788515,190.94681479528526,190.94681479528526,2.673455363807357,2.854948145317663,
16,2021,08,03,21,Y,N,0,843.817162753597,257.2380482601107,154.31218830279047,154.31218830279047,0.39860767733540586,2.7357548750536806,
17,2021,08,03,21,Y,N,0,837.1634292464469,259.50266467175703,120.95910887354376,120.95910887354376,0.9414521883079424,4.548354757857857,
18,2021,08,03,21,Y,N,0,823.9765765843795,265.6527179220537,104.3187742795008,104.3187742795008,1.4333890838000203,5.45189993152076,
0,2021,07,07,26,N,Y,2,922.5131090225565,457.5392218045112,396.6864540512826,396.6864540512826,5.247381930992257,5.007363960628295,
1,2021,07,07,26,N,Y,2,930.4025970262359,512.0330217696668,391.50861385176984,391.50861385176984,4.996853930268633,2.216361169334892,
2,2021,07,07,26,N,Y,2,947.3658956918275,499.77812373491196,370.8756277121883,370.8756277121883,5.021212979473057,2.0968678718714755,
3,2021,07,07,26,N,Y,2,982.4166844320513,503.22336733163684,358.5004894306389,358.5004894306389,6.328426625381982,2.0253978556949845,0.16859979522960958
4,2021,07,07,26,N,Y,2,957.9244621220249,459.59532823242876,380.7611109894992,380.7611109894992,12.76213749224261,1.9494616592570362,
5,2021,07,07,26,N,Y,2,978.3744166156785,411.04965313617515,415.24919193981555,415.24919193981555,5.0975565272893775,2.3761036246753777,
6,2021,07,07,26,N,Y,2,998.9916969909165,418.1222265037594,439.82226825116203,439.82226825116203,6.6982735410288825,2.9374510253677446,
7,2021,07,07,26,N,Y,2,1016.2651964285715,428.1986372180451,470.6562859718213,470.6562859718213,3.5745574158368507,3.1176438235437374,
8,2021,07,07,26,N,Y,2,1001.3021513157895,397.255125,486.0648407605737,486.0648407605737,2.0480964339741647,2.9957317865511035,
9,2021,07,07,26,N,Y,2,987.0500094849508,384.13432864849426,508.2035494845161,508.2035494845161,5.890145338500581,3.043362718698853,
10,2021,07,07,26,N,Y,2,948.9529456941651,387.9017365459043,513.994952060691,513.994952060691,8.275123670313619,2.63153233144539,
11,2021,07,07,26,N,Y,2,995.6429689849624,355.55544642857143,500.651365611632,500.651365611632,3.1848972473443298,2.158607232174214,
12,2021,07,07,26,N,Y,2,979.0246611984811,352.56970615657553,507.4757293552131,507.4757293552131,4.654235416035573,2.5273573551000634,
13,2021,07,07,26,N,Y,2,898.1329066169714,399.97247914136545,533.6725990953538,533.6725990953538,7.363182221813011,2.6023395056920258,
14,2021,07,07,26,N,Y,2,937.9791109022557,386.9019270050125,484.54983640806176,484.54983640806176,11.292994104758298,3.8280696906108305,
15,2021,07,07,26,N,Y,2,940.8656910849187,380.5867306121179,447.455708872977,447.455708872977,12.36575001189142,3.516583745202166,
0,2021,03,25,22,N,N,0,1029.4728045112781,322.11345676691724,287.2242940200985,287.2242940200985,0.9495424872308996,2.984459812633187,
1,2021,03,25,22,N,N,0,1027.902739779482,324.1953340567363,320.7919050306232,320.7919050306232,1.7699228689000692,2.3571108609019036,0.21676828129584583
2,2021,03,25,22,N,N,0,1038.7679700519238,316.81123877636753,361.02591613971583,361.02591613971583,5.401015131096006,2.3372200987861778,0.24010335055802826
3,2021,03,25,22,N,N,0,1104.8309432957394,312.4672221177945,361.28439562242255,361.28439562242255,5.672329777059672,2.2551670610009302,
4,2021,03,25,22,N,N,0,1121.20191350115,296.23613626185323,408.06716651552614,408.06716651552614,3.4847325424977944,2.587188502163645,
5,2021,03,25,22,N,N,0,1131.9845977443608,282.8307556390978,407.9077116396382,407.9077116396382,3.917273184202184,2.0355423152781724,
6,2021,03,25,22,N,N,0,1113.6316623007958,283.66473899913734,385.70529256822545,385.70529256822545,2.43618497508307,2.003364987021185,
7,2021,03,25,22,N,N,0,1129.2646560248097,303.8520771058764,331.9902401236327,331.9902401236327,10.210048644861342,1.665787382040383,
8,2021,03,25,22,N,N,0,1128.9492781954887,314.5290836466166,322.8119838354386,322.8119838354386,1.149852527002237,1.5919723880457213,
9,2021,03,25,22,N,N,0,1128.0661842105264,328.28129605263155,311.37528823403454,311.37528823403454,0.3639988523786613,1.8501485853818398,
10,2021,03,25,22,N,N,0,1129.909052631579,339.12185526315784,306.88693328979724,306.88693328979724,0.3028059589400007,2.2750001568046323,
11,2021,03,25,22,N,N,0,1113.1161287593986,342.4903270676691,323.1803359698027,323.1803359698027,2.283995912820252,2.694733432588087,
12,2021,03,25,22,N,N,0,1088.8175958646618,341.4808859649124,340.0126802435457,340.0126802435457,4.243262494510718,2.8953404602585984,
13,2021,03,25,22,N,N,0,1065.7323524109245,330.13056785387437,363.243906785286,363.243906785286,3.2031735877026044,2.151317294669095,
14,2021,03,25,22,N,N,0,1057.7993092105264,318.00044078947366,397.5934543683106,397.5934543683106,0.30707004364593166,1.9067192590462498,
15,2021,03,25,22,N,N,0,1061.3746513157894,312.97212500000006,403.42233342999424,403.42233342999424,0.5035009124934151,2.12100990663547,
16,2021,03,25,22,N,N,0,1112.6340563909778,304.51597180451125,403.2949430983852,403.2949430983852,2.404391573497038,2.4160889186898973,
0,2021,03,25,10,N,N,0,973.3944265024718,362.2517758650978,324.77178891918606,324.77178891918606,0.5853567253317042,4.303322059328923,0.3530779555494139
1,2021,03,25,10,N,N,0,961.4171328880533,397.4670314732481,367.1361413776471,367.1361413776471,1.5861230067754513,2.9874567182186227,0.4146806451763116
