Frame,Fish1_X,Fish1_Y,Fish2_X,Fish2_Y,Fish3_X,Fish3_Y,Fish4_X,Fish4_Y,Fish5_X,Fish5_Y,Fish6_X,Fish6_Y,Fish7_X,Fish7_Y,Fish8_X,Fish8_Y
45,499.482,142.435,297.426,329.563,512.53,250.982,1495.259,237.965,927.804,358.985,962.579,200.472,654.974,671.686,420.046,225.365
46,501.32,142.435,295.456,328.263,513.448,250.682,1501.415,236.667,930.005,359.21,960.089,200.287,659.625,670.149,424.096,225.158
47,506.006,153.644,292.346,324.221,521.054,241.831,1506.252,236.101,932.93,360,950.308,199.668,665.8,666.736,426.566,224.164
48,506.006,149.463,292.346,,530.725,239.962,1510.074,232.975,933.519,360.801,945.782,198.773,672.41,665.968,430.08,222.417
49,506.006,149.148,295.456,,531.543,236.088,1517.267,232.515,936.226,362.468,943.77,198.736,680.497,663.509,430.08,222.417
50,506.5,149.148,306.037,316.22,534.514,230.211,1522.443,230.177,937.887,367.044,935.877,198.488,686.951,662.624,430.585,222.242
51,506.5,149.463,303.519,314.547,539.426,227.806,1526.934,229.948,940.461,367.619,929.647,196.026,694.27,657.425,433.494,220.48
52,506.5,150.311,303.519,313.144,544.079,222.846,1534.155,229.531,943.25,367.619,928.587,195.134,698.972,653.483,439.529,216.582
53,506.5,150.311,303.519,309.112,549.015,222.324,1538.565,228.115,944.949,367.619,923,193.684,706.485,650.901,442.385,216.314
54,506.5,151.064,303.568,304.68,554.277,218.534,1544.578,227.934,948.104,364.256,916.178,193.037,712.533,649.298,444.353,214.787
55,507.595,151.633,303.763,304.022,554.277,218.373,1549.296,226.821,953.229,361.981,913.143,191.877,718.488,644.428,447.915,212.549
56,507.595,154.652306,303.763,302.303,554.277,212.403,1553.252,224.846,960.388,356.756,908.778,189.396,724.772,641.698,449.29,211.411
57,504.575694,150.178,303.764,298.09,556.209,202.808,1559.234,224.335,965.344,354.416,903.623,188.465,730.381,638.798,450.376,208.144
58,,,304.678,297.667,560.734,202.363,1565.087,224.172,970.497,346.272,899.339,187.354,738.319,638.231,453.227,207.782
59,,,305.166,294.448,574.912,198.168,1568.811,222.894,973.459,342.73,896.203,187.316,746.179,637.403,456.361,206.77
60,,,305.181,291.533,575.914,198.168,1574.225,222.611,976.804,341.444,891.628,187.057,753.512,635.015,459.32,203.652
61,,,305.671,289.94,582.625,198.168,1579.966,221.999,980.472,341.412,886.148,187.057,759.531,631.773,460.433,202.905
62,,,305.97,286.954,583.243,196.837,1583.318,220.848,984.21,339.268,883.835,186.601,765.381,628.181,461.41,202.905
63,,,307.808,286.447,583.243,196.837,1587.664,220.505,989.114,339.268,879.677,185.32,771.726,625.355,464.942,203.652
64,,,309.152,284.191,583.243,196.837,1592.165,218.079,992.724,339.186,875.302,184.008,778.356,621.962,467.925,203.843
65,,,309.833,283.561,587.87,194.34,1597.969,217.644,997.276,339.186,871.359,183.927,784.323,620.392,467.925,203.843
66,,,309.152,281.452,589.888,191.879,1602.195,216.235,1002.542,340.077,867.562,183.807,790.447,616.544,471.342,210.44
67,,,309.152,277.955,601.571,184.692,1605.799,216.235,1007.444,340.833,864.901,182.828,796.324,613.566,475.57,217.282
68,456.326,153.848,309.833,276.279,601.769,184.564,1609.335,216.22,1010.734,340.077,860.562,178.544,802.054,611.17,486.349,231.282
69,449.473,152.907,310.682,272.189,605.071,183.709,1615.362,216.165,1016.065,341.418,857.43,176.35,809.429,608.545,494.864,242.233
70,449.364,152.552,310.747,270.905,609.131,175.851,1619.497,216.165,1020.258,341.672,853.092,175.808,814.587,607.242,494.864,242.233
71,444.863,151.121,313.1,268.526,611.449,174.469,1624.372,216.879,1023.268,341.672,849.563,172.996,820.794,605.073,501.015,242.504
72,440.297,152.552,313.482,266.674,615.057,174.016,1629.304,219.084,1028.469,340.934,847.03,170.779,826.051,603.205,505.487,242.945
73,436.651,152.552,313.1,265.705,620.568,174.016,1631.757,223.107,1033,341.672,843.488,170.434,831.634,602.378,512.625,244.574
74,432.584,152.217,313.191,261.149,622.118,174.016,1637.883,231.384,1037.221,343.008,839.052,169.28,839.212,600.583,518.101,244.574
75,430.598,152.756,313.1,260.726,627.836,178.25,1642.505,236.926,1041.002,340.934,837.097,169.201,844.24,598.579,522.231,244.574
76,426.828,152.756,312.878,257.578,637.753,181.716,1648.062,242.802,1045.12,340.934,833.646,168.09,851.347,597.258,523.635,243.842
77,422.384,152.217,312.029,255.666,637.753,181.716,1651.079,248.746,1049.452,340.121,828.569,166.746,856.154,595.074,530.338,243.594
78,421.654,152.217,311.319,254.367,637.753,181.716,1656.976,251.412,1053.644,339.312,824.722,165.583,860.929,591.825,532.242,243.594
79,416.903,152.756,311.319,252.904,,,1661.455,254.088,1057.042,338.484,822.18,165.366,865.915,591.666,533.598,243.842
80,414.77,153.14,312.029,248.616,,,1667.581,256.825,1061.539,338.374,820.603,165.241,870.921,589.19,560.79,246.643
81,412.496,155.056,312.137,248.518,,,1674.987,258.968,1065.107,336.133,816.027,165.241,874.264,587.479,566.763,248.994
82,406.469,157.071,312.431,247.038,,,1679.744,259.382,1068.687,334.983,813.629,165.053,879.311,587.142,571.657,249.807
83,404.072,161.242,312.431,244.439,,,1688.296,261.967,1072.999,333.918,806.901,164.895,883.712,584.553,576.878,249.633
84,399.465,162.204,312.137,241.65,,,1695.366,262.559,1076.468,333.835,803.59,163.639,888.946,583.449,587.626,249.633
85,398.612,163.421,311.791,239.333,,,1701.614,264.83,1079.252,332.148,801.295,162.707,896.249,583.371,592.291,249.633
86,394.803,165.137,311.053,237.294,,,1709.274,265.124,1083.065,332.148,798.559,162.477,900.58,581.117,600.879,248.949
87,394.142,165.707,311.053,234.958,,,1713.939,265.364,1087.89,331.365,795.748,159.391,904.821,580.679,606.203,246.712
88,392.283,166.686,311.053,231.677,,,1721.065,266.109,1091.644,330.852,794.36,159.014,911.753,579.698,613.619,246.712
89,388.135,167.691,311.753,231.652,,,1727.036,267.356,1094.355,330.852,790.437,159.014,915.972,579.317,619.331,246.712
90,384.558,167.691,311.845,230.86,,,1732.994,268.036,1098.746,331.365,788.408,159.391,921.372,576.937,627.764,246.772
91,382.039,166.686,312.897,226.942,,,1741.795,269.378,1101.404,331.365,785.263,159.569,924.612,575.314,633.681,246.779
92,379.756,167.641,313.452,222.567,,,1746.589,271.153,1103.43,332.544,783.303,159.569,929.721,575.048,640.546,247.877
93,377.154,167.641,316.469,222.282,,,1754.054,271.899,1107.853,332.544,781.894,159.697,932.932,571.663,646.96,250.407
94,372.071,167.641,316.895,222.1,,,1758.59,272.204,1110.518,332.544,778.68,161.036,936.49,569.26,655.094,252.824
95,369.435,167.641,317.421,218.015,,,1765.596,276.159,1114.717,332.544,774.256,157.4596155,943.114,567.062,660.712,253.705
96,368.671,167.641,317.404,216.2,,,1772.042,276.405,1117.887,332.544,769.0686155,145.1141542,947.123,566.297,669.876,253.705
97,365.694,166.675,316.895,214.419,,,1776.843,278.165,1121.291,332.28,769.0686155,148.5828464,952.381,563.927,669.876,253.705
98,363.778,166.036,316.895,211.433,,,1783.95,281.499,1123.727,332.28,765.1145387,151.8865387,956.926,560.867,674.592,253.366
99,359.587,164.857,316.823,209.167,782.7009215,158.0403862,1787.937,283.131,1126.047,332.28,762.5970774,149.2928464,960.547,559.703,684.414,253.366
100,356.404,164.51,316.06,207.73,,,1793.293,284.947,1130.559,330.008,770.3614619,149.2928464,965.763,559.374,696.507,253.366
101,354.683,164.203,,,,,1801.711,286.937,1133.599,329.535,768.0030774,145.6271542,969.906,557.359,708.725,255.569
102,354.431,163.553,,,,,1805.939,289.236,1135.918,328.896,768.6740774,141.9078464,973.841,556.905,708.725,255.569
103,352.119,163.4,,,,,1808.829,292.725,1139.143,328.541,759.8503083,136.4734619,979.315,556.042,718.104,259.839
104,350.926,162.976,,,,,1808.829,292.725,1142.391,328.464,751.7473857,141.2628464,984.715,555.696,723.199,264.175
105,350.802,160.898,,,,,1808.829,299.663,1145.108,325.407,754.3773857,136.0754619,986.534,554.54,730.617,268.092
106,350.802,159.908,,,,,,311.699,1148.804,324.719,744.0026166,140.5978464,992.39,552.093,736.627,271.609
107,350.802,152.89,,,,,1802.604,337.028,1152.296,324.4,733.6278476,135.4104619,998.332,549.201,744.02,272.803
108,351.106,152.77,311.826,194.316,841.5483077,150.5145387,1794.992,355.504,1153.843,324.12,740.617,140.831,1003.14,543.639,752.081,272.803
109,351.106,147.735,311.826,192.052,836.792,148.209,1788.632,355.504,1157.156,323.222,734.822,140.787,1004.764,540.994,760.863,272.803
110,351.106,146.33,311.826,,843.6883072,148.09,1785.982,360.858,1161.307,321.515,728.873,140.127,1011.228,538.64,767.49,272.781
111,,,307.7293077,187.2710762,,,1784.159,371.104,1162.817,320.88,728.479,139.519,1016.576,535.199,777.356,272.781
112,,,308.348616,186.3050762,,,1784,376.803,1165.252,320.514,,,1021.754,534.005,784.753,272.781
113,348.3780063,147.3976923,,,,,1783.923,382.63,1167.115,319.628,,,1028.798,533.927,792.805,272.861
114,339.6226218,142.1563077,,,,,1783.923,389.554,1171.856,319.361,,,1033.688,532.878,799.624,273.364
115,,,,,,,1784,395.806,1173.08,319.361,714.261,137.389,1039.322,532.768,811.318,275.458
116,,,318.619,181.822,,,1784.214,404.484,1177.589,318.501,714.261,137.389,1047.396,532.259,817.561,277.33
117,,,,,,,1784.23,408.445,1180.202,318.501,714.261,137.389,1053.844,529.891,825.458,278.228
118,335.741,140.342,,,,,1785.279,418.807,1182.329,318.501,,,1060.13,527.981,833.898,280.299
119,329.838,141.94,,,,,1785.279,423.172,1185.44,318.501,,,1063.641,524.086,841.798,282.923
120,321.885,141.94,347.4673862,177.3879238,,,1785.279,433.116,1187.809,318.501,,,1067.504,520.116,848.184,284.378
121,320.018,141.94,357.0976166,178.4199232,,,1785.4,440.68,1191.335,318.193,,,1072.813,520.027,856.599,285.016
122,318.27,140.797,,,,,1785.4,446.601,1193.676,318.028,,,1081.09,516.02,862.005,286.983
123,313.07,139.387,,,,,1785.705,453.332,1196.51,317.253,,,1086.796,513.642,870.134,287.833
124,311.018,137.014,,,,,1786.713,460.178,1198.059,317.185,,,1092.969,512.937,878.206,289.355
125,310.002,133.745,,,,,1787.504,468.154,1201.556,316.049,,,1097.914,510.523,883.731,293.372
126,307.05,133.011,,,,,1789.175,473.771,1203.353,315.403,699.838,127.0291542,1106.176,508.847,889.908,293.959
127,307.05,133.011,380.291,180.531373,,,1789.182,482.277,1206.167,311.554,697.4793753,136.7814371,1112.17,508.679,895.713,296.754
128,,,373.3730968,177.4680599,,,1789.737,487.59,1208.261,311.014,682.784,145.185,1115.851,507.277,901.721,301.184
129,,,387.9031198,166.6510461,,,1789.737,496.058,1212.557,308.717,680.863,147.881,1122.67,505.974,908.121,303.19
130,,,381.1581198,165.9260461,,,1789.992,502.97,1216.519,307.637,679.282,154.199,1128.3,502.396,912.566,305.841
131,,,388.1361382,172.6820553,,,1789.999,506.507,1217.615,305.639,677.193,160.647,1137.812,500.854,921.135,310.088
132,,,408.8181659,171.8010599,,,1789.992,515.643,1221.098,305.263,670.37,170.008,1141.186,497.626,925.793,310.648
133,,,401.9241567,181.5420737,,,1789.992,519.437,1222.927,302.566,668.25,173.052,1147.133,493.539,930.754,313.705
134,,,415.7121751,178.0950691,,,1789.992,526.426,1224.358,299.851,664.177,173.934,1151.353,493.526,938.131,315.234
135,,,419.1591797,179.8770737,,,1789.999,534.176,1227.208,296.62,657.161,173.934,1156.519,490.649,943.224,317.151
136,,,422.4161843,183.2240783,,,1789.467,537.73,1227.762,294.411,655.481,173.934,1163.292,488.165,948.453,317.567
137,283.393,124.625,,,,,1788.837,544.524,1230.504,293.971,,,1168.388,487.229,955.368,318.292
138,283.393,124.597,,,,,1786.997,551.583,1232.408,291.677,639.6310184,182.2809908,1174.975,486.4,960.215,319.94
139,283.393,123.979,,,,,1786.649,555.12,1234.558,287.084,636.1840138,185.7279954,1179.881,483.417,965.401,319.94
140,283.565,123.979,,,,,1786.072,562.031,1235.906,286.788,625.843,189.175,1184.461,482.781,972.409,320.521
141,283.684,124.281,,,,,1779.484,566.15,1236.046,285.13,,,1190.284,480.34,975.385,320.613
142,283.841,123.586,,,,,1771.015,568.916,1237.872,281.803,,,1195.521,477.836,982.815,322.431
143,284.864,124.281,,,,,1762.778,572.572,1240.072,278.648,,,1200.57,477.219,988.977,322.541
144,292.071,124.281,,,,,1756.754,576.755,1240.375,276.572,,,1203.871,476.538,993.214,322.831
145,306.305,124.174,,,,,1748.403,577.598,1241.529,273.595,,,1209.418,473.153,998.597,323.151
146,315.068,124.174,,,,,1742.307,581.605,1244.26,271.998,,,1213.783,471.233,1004.074,324.214
147,317.6767972,121.5599171,,,,,1737.842,584.768,1245.217,271.159,,,1218.4,468.447,1007.994,324.744
148,315.068,124.174,,,1037.019,170.22,1729.741,588.327,1246.12,270.223,,,1223.087,465.967,1012.268,324.744
149,315.068,121.281,,,1037.019,169.97,1724.99,592.468,1247.019,269.715,,,1226.801,463.086,1017.808,327.185
150,,,,,1037.019,169.441,1720.996,595.859,1248.6,268.268,,,1231.833,462.041,1023.371,327.185
151,,,,,1044.724,168.868,1716.211,600.534,1250.756,266.006,,,1237.04,461.201,1027.839,327.811
152,,,,,1050.422,168.868,1712.247,605.013,1253.261,264.238,,,1240.276,459.949,1032.053,328.951
153,,,,,1052.186,168.868,1707.549,610.732,1255.292,262.641,,,1244.528,458.486,1036.727,329.094
154,,,,,1060.253,169.553,1702.351,616.388,1255.808,260.642,,,1249.373,457.607,1041.198,330.531
155,,,,,1065.221,169.553,1698.341,618.915,1259.348,258.072,,,1254.634,455.115,1044.699,331.022
156,,,,,1066.707,169.553,1693.972,624.006,1261.388,257.605,,,1257.623,454.98,1051.539,331.722
157,,,,,1072.49,169.553,1688.693,628.58,1263.844,257.558,,,1265.226,454.749,1053.736,333.088
158,,,,,1078.442,169.411,1684.26,632.504,1264.534,256.731,,,1269.216,452.228,1059.235,333.897
159,,,,,1080.486,169.411,1679.155,635.274,1266.206,255.814,,,1273.173,448.992,1062.152,334.076
160,,,,,1085.008,169.68,1676.028,641.944,1268.601,254.59,,,1276.121,446.885,1066.951,334.298
161,,,546.878,187.093,1091.843,170.259,1672.27,645.659,1269.68,252.492,,,1279.976,445.535,1070.503,334.746
162,,,536.709,186.563,1095.629,170.67,1667.012,648.534,1272.222,250.947,,,1282.999,443.717,1076.087,335.121
163,,,536.709,186.563,1096.942,172.172,1663.589,651.831,1275.185,249.17,631.6481515,296.3496818,1288.105,440.121,1079.771,335.121
164,,,550.602,187.884,1103.77,172.576,1659.999,656.34,1277.526,248.931,639.7757151,299.1167152,1291.424,439.561,1082.087,335.388
165,,,550.602,187.884,1106.284,173.541,1652.549,658.352,1279.002,247.362,648.141,301.635,1297.917,438.278,1088.022,335.388
166,,,550.602,187.884,1111.855,173.956,1647.829,664.869,1279.583,244.976,653.455,306.021,1300.115,434.674,1089.707,335.596
167,,,550.38,185.647,1118.888,178.573,1646.1,666.524,1281.36,241.416,660.953,308,1304.203,431.944,1095.551,336.73
168,373.006,115.459,,,1120.927,181.747,1640.901,669.405,1283.12,240.71,665.402,310.715,1307.811,431.292,1098.444,336.861
169,370.388,115.375,,,1126.16,182.221,1636.28,672.599,1286.732,239.455,671.791,317.975,1311.413,431.019,1103.883,338.694
170,370.328,114.648,,,1130.083,183.799,1631.858,675.517,1288.981,238.73,675.923,321.649,1314.421,430.681,1105.475,341.77
171,370.328,114.648,,,1134.554,184.121,1627.626,680.992,1291.19,238.024,681.892,323.737,1317.882,429.725,1110.284,343.914
172,370.328,114.648,,,1139.598,184.934,1624.347,682.569,1292.363,236.185,686.757,329.031,1322.176,427.963,1113.561,344.418
173,370.328,115.783,,,1143.822,184.96,1619.388,688.46,1292.944,235.79,690.886,331.357,1326.002,427.341,1117.408,344.418
174,371.646,116.102,,,1148.617,185.417,1616.193,690.757,1293.671,235.378,694.924,336.727,1329.983,424.612,1121.913,345.778
175,371.826,116.102,,,1152.162,184.96,1613.355,695.101,1294.461,235.371,703.805,336.849,1334.939,422.58,1126.922,345.778
176,371.826,116.102,,,1157.997,185.896,1609.845,697.956,1295.186,233.59,706.904,342.039,1336.362,420.874,1130.803,344.585
177,371.826,116.03,,,1161.733,184.983,1604.827,700.844,1298.704,231.436,711.723,344.655,1341.6,418.202,1132.382,344.033
178,,,,,1165.675,186.132,1600.662,705.719,1300.851,230.434,716.854,347.735,1343.724,415.486,1135.909,344.033
179,,,,,1170.42,186.132,1597.239,708.363,1302.794,229.613,721.495,349.62,1346.995,414.967,1141.67,342.461
180,,,,,1175.258,187.154,1594.721,711.06,1303.421,228.209,725.008,353.742,1349.483,412.49,1144.801,342.461
181,,,587.038,185.06,1179.79,187.224,1593.093,713.131,1304.987,227.82,730.781,357.063,1353.683,411.155,1146.813,342.461
182,,,586.637,184.358,1182.333,190.888,1586.873,717.293,1308.928,227.82,734.247,359.971,1357.298,409.761,1151.268,345.459
183,,,586.637,183.837,1188.787,191.587,1583.424,718.135,1310.268,227.48,738.298,364.295,1361.683,406.556,1152.029,345.659
