,Year,Month,Day,Trial,Ablation,Darkness,Flow,Fish,Tailbeat_Num,X_Distance,Y_Distance,Distance,Angle,Heading_Diff,Fish1_Speed,Fish2_Speed,Speed_Diff,Spatial_Auto,Sync
0,2021,10,06,34,Y,N,2,individual1xindividual2,0,,,,,,2.2184631957145755,,,,0.8931058612462919
1,2021,10,06,34,Y,N,2,individual1xindividual2,1,,,,,,2.3472677918629294,,,,0.8768182383794576
2,2021,10,06,34,Y,N,2,individual1xindividual2,2,,,,,,3.2816376628537767,,,,0.44230842314320695
3,2021,10,06,34,Y,N,2,individual1xindividual2,3,,,,,,,,,,0.44230842314320695
4,2021,10,06,34,Y,N,2,individual1xindividual2,4,,,,,,,,,,0.44230842314320695
5,2021,10,06,34,Y,N,2,individual1xindividual2,5,,,,,,0.933682924532469,,,,0.5063088108534625
6,2021,10,06,34,Y,N,2,individual1xindividual2,6,-1.0651849408480196,-0.3154584985855599,1.1109153984616718,-163.50072004453105,121.75960202350505,1.9206491825274477,1.9670161102995436,-0.046366927772095994,-0.3534346814093304,0.19590652638028122
7,2021,10,06,34,Y,N,2,individual1xindividual2,7,-0.9801501754665762,-0.4321232076891022,1.07117917879815,-156.24763164629798,14.939114017035624,2.260240912610564,2.043063565121893,0.21717734748867015,0.009820065049277122,0.19590652638028122
8,2021,10,06,34,Y,N,2,individual1xindividual2,8,-1.1024365980644155,-0.6256209984198264,1.2675835619065365,-150.50557036019472,6.711365374337585,2.6881034322279342,1.9746130085868026,0.7134904236411319,0.047451596060045065,0.19590652638028122
0,2021,10,06,34,Y,N,2,individual1xindividual3,0,-3.0418520072626785,0.1131911181019512,3.0439572702824123,177.87018477803116,70.4448600443933,2.2184631957145755,1.7688388418732162,0.4496243538413594,-0.20912392458120574,0.49039255397774745
1,2021,10,06,34,Y,N,2,individual1xindividual3,1,-3.089523474130849,0.20144774839288015,3.096084057731332,176.26879177494766,34.4664712154346,2.3472677918629294,1.9796578248498122,0.3676099670131159,-0.2015707346406845,0.5617961004305562
2,2021,10,06,34,Y,N,2,individual1xindividual3,2,-2.8997946416767273,0.32207478844051146,2.917625941282751,173.48623035568178,76.57019206322056,3.2816376628537767,1.9473017846674583,1.3343358781863188,0.16367450051848995,0.7388676238623086
3,2021,10,06,34,Y,N,2,individual1xindividual3,3,,,,,,,2.106202783971464,,,0.7388676238623086
4,2021,10,06,34,Y,N,2,individual1xindividual3,4,,,,,,,,,,0.7388676238623086
5,2021,10,06,34,Y,N,2,individual1xindividual3,5,,,,,,0.933682924532469,,,,0.7016451496788189
6,2021,10,06,34,Y,N,2,individual1xindividual3,6,0.31473899999258975,0.12412254378140386,0.33832978584674145,24.076977804013826,78.69211735193838,1.9206491825274477,2.775024936711366,-0.8543757541839178,-0.12154288830766351,0.6808436110972462
7,2021,10,06,34,Y,N,2,individual1xindividual3,7,0.6047886312617345,0.09455706324681756,0.6121358727548198,9.00260265942881,36.773527782770444,2.260240912610564,2.620899414653773,-0.3606585020432097,0.49729160464279604,0.6808436110972462
8,2021,10,06,34,Y,N,2,individual1xindividual3,8,0.6615415880355894,0.0058327261911433,0.6615673007302207,0.5296016508233382,21.513151671157814,2.6881034322279342,2.7067810839382305,-0.018677651710296322,0.6317167630067152,0.6808436110972462
0,2021,10,06,34,Y,N,2,individual4xindividual1,0,2.859513196933014,-0.5669744860770022,2.9151802330724506,-11.222994704827922,17.66210957700682,2.1878129054615463,2.2184631957145755,-0.03065029025302936,-0.6896298227499578,0.31984116506743004
1,2021,10,06,34,Y,N,2,individual4xindividual1,1,,,,,,,2.3472677918629294,,,0.31984116506743004
2,2021,10,06,34,Y,N,2,individual4xindividual1,2,2.364494809974049,-0.9719639561511623,2.5564721078961985,-23.098073668340767,66.82278332664481,2.5154221584005927,3.2816376628537767,-0.7662155044531849,-0.22227858526391275,0.5937441082133451
3,2021,10,06,34,Y,N,2,individual4xindividual1,3,,,,,,2.139001804605196,,,,0.7929462486831017
4,2021,10,06,34,Y,N,2,individual4xindividual1,4,,,,,,1.838714608365966,,,,0.7929462486831017
5,2021,10,06,34,Y,N,2,individual4xindividual1,5,-0.03111720679403342,-0.9417934555368648,0.9423073773725488,-92.05972446129896,133.3953747269868,1.6026581023282411,0.933682924532469,0.6689751777957721,0.7674694485444293,0.7888572660103733
6,2021,10,06,34,Y,N,2,individual4xindividual1,6,-0.09817472997150715,-0.7792341152996565,0.7853942220641916,-97.17174740697162,,1.6421404534756392,1.9206491825274477,-0.2785087290518085,0.4632240332651169,1.0
7,2021,10,06,34,Y,N,2,individual4xindividual1,7,-0.031036703369535706,-0.7347279515804024,0.7353831924851034,-92.34711566230592,,1.5952960959338212,2.260240912610564,-0.6649448166767423,0.22957849502054986,1.0
8,2021,10,06,34,Y,N,2,individual4xindividual1,8,0.2631324500689115,-0.6137578111814241,0.6677853974634972,-66.65865901617926,26.082907174611307,1.502387376610906,2.6881034322279342,-1.1857160556170288,-0.2320645070771945,1.0
9,2021,10,06,34,Y,N,2,individual4xindividual1,9,0.685694130367612,-0.4466865709461246,0.8183552609253532,-33.920950519717266,14.00430880643745,1.5330547123188603,3.029312960817671,-1.4962582484988112,-0.6208465440905767,1.0
0,2021,10,06,34,Y,N,2,individual1xindividual5,0,-1.2701287008852462,1.824442206669805,2.2230196315576323,124.84026999406208,22.24113352488705,2.2184631957145755,2.3737538133906164,-0.15529061767604055,0.4366681456657569,0.2271147020470205
