,Year,Month,Day,Trial,Ablation,Darkness,Flow,Fish,Tailbeat_Num,X,Y,Heading,Speed,TB_Frequency,Fish_Length
9,2021,7,7,14,N,Y,0,individual4,9,,,,,1.578947368,1.578947368
10,2021,7,7,14,N,Y,0,individual4,10,,,,,6.523545706,6.523545706
11,2021,7,7,14,N,Y,0,individual4,11,,,,,15,15
12,2021,7,7,14,N,Y,0,individual4,12,961.5325919,120.4105753,-49.62407417,0.859872926,15,15
13,2021,7,7,14,N,Y,0,individual4,13,,,,,15,15
0,2021,7,7,14,N,Y,0,individual5,0,1365.387684,243.41,-150.9716929,1.422136297,3.333333333,3.333333333
1,2021,7,7,14,N,Y,0,individual5,1,1293.070421,197.3491579,-152.5393473,1.400544021,2.198464912,2.198464912
2,2021,7,7,14,N,Y,0,individual5,2,,,,,0.9375,0.9375
3,2021,7,7,14,N,Y,0,individual5,3,1198.225737,123.2152632,-149.0108497,1.038150116,0.9375,0.9375
4,2021,7,7,14,N,Y,0,individual5,4,1143.110263,126.7445789,-167.6088098,0.92625283,1.024574303,1.024574303
5,2021,7,7,14,N,Y,0,individual5,5,1092.800789,124.2753158,-165.4954365,0.860532159,1.764705882,1.764705882
6,2021,7,7,14,N,Y,0,individual5,6,1041.316579,136.9149474,-176.1899085,1.181654907,2.26006192,2.26006192
7,2021,7,7,14,N,Y,0,individual5,7,983.7621053,144.8198947,179.8179483,1.232732789,3.486842105,3.486842105
8,2021,7,7,14,N,Y,0,individual5,8,882.6466842,,,,3.75,3.75
9,2021,7,7,14,N,Y,0,individual5,9,,,,,3.75,3.75
10,2021,7,7,14,N,Y,0,individual5,10,,,,,3.75,3.75
11,2021,7,7,14,N,Y,0,individual5,11,277.5228947,739.8236842,-141.8504688,1.249956457,3.75,3.75
12,2021,7,7,14,N,Y,0,individual5,12,,,,,3.75,3.75
13,2021,7,7,14,N,Y,0,individual5,13,,,,,3.75,3.75
0,2021,7,7,14,N,Y,0,individual6,0,706.3469474,329.7193158,-80.0417698,0.863807813,2.5,2.5
1,2021,7,7,14,N,Y,0,individual6,1,747.3696842,289.8235789,-56.29953995,1.049872275,3.204334365,3.204334365
2,2021,7,7,14,N,Y,0,individual6,2,811.1316842,268.0930526,-27.82609852,1.842548228,2.321981424,2.321981424
3,2021,7,7,14,N,Y,0,individual6,3,917.1680526,240.3144737,-17.86249308,1.799351334,2.481203008,2.481203008
4,2021,7,7,14,N,Y,0,individual6,4,1012.925,213.5754211,-16.19254317,,3.751483973,3.751483973
5,2021,7,7,14,N,Y,0,individual6,5,1092.745368,,,,2.75516727,2.75516727
6,2021,7,7,14,N,Y,0,individual6,6,1148.090263,212.5907368,,1.575701788,2.290341238,2.290341238
7,2021,7,7,14,N,Y,0,individual6,7,1225.128368,253.1775789,21.85805868,1.507899227,2.142857143,2.142857143
8,2021,7,7,14,N,Y,0,individual6,8,1318.697,243.3752632,-6.882627725,1.584068882,1.813655761,1.813655761
9,2021,7,7,14,N,Y,0,individual6,9,1396.486105,221.4022632,-21.90681151,1.435629857,1.621621622,1.621621622
10,2021,7,7,14,N,Y,0,individual6,10,1426.192368,166.7698947,-55.35919344,1.356308544,2.792792793,2.792792793
11,2021,7,7,14,N,Y,0,individual6,11,1519.607421,156.3728947,-31.4702109,2.058661185,2.303338993,2.303338993
12,2021,7,7,14,N,Y,0,individual6,12,1604.985895,143.1638421,-39.22339524,1.023185679,1.935483871,1.935483871
13,2021,7,7,14,N,Y,0,individual6,13,1660.235895,138.1856316,-35.92251464,0.940972597,1.935483871,1.935483871
0,2021,7,7,14,N,Y,0,individual7,0,,,,,4,4
1,2021,7,7,14,N,Y,0,individual7,1,,,,,4,4
2,2021,7,7,14,N,Y,0,individual7,2,1073.439632,213.35,8.742140405,1.764857363,3.602339181,3.602339181
3,2021,7,7,14,N,Y,0,individual7,3,1029.102842,304.9377368,113.1718978,2.433866492,1.111111111,1.111111111
4,2021,7,7,14,N,Y,0,individual7,4,965.3248947,401.7358421,124.1796894,1.615152955,1.111111111,1.111111111
5,2021,7,7,14,N,Y,0,individual7,5,913.3685263,464.7412632,128.088078,1.232228869,2.543859649,2.543859649
6,2021,7,7,14,N,Y,0,individual7,6,858.7524737,518.5414211,136.0057984,1.802004835,3.325358852,3.325358852
7,2021,7,7,14,N,Y,0,individual7,7,758.4145789,531.4713158,165.5526401,1.709318537,4.306220096,4.306220096
8,2021,7,7,14,N,Y,0,individual7,8,660.9073158,538.6981579,171.394694,1.674411112,4.32132964,4.32132964
9,2021,7,7,14,N,Y,0,individual7,9,577.1666316,526.5214211,179.5736957,1.325243268,3.694864692,3.694864692
10,2021,7,7,14,N,Y,0,individual7,10,495.7768947,496.176,-162.8624146,2.373548067,5.246963563,5.246963563
11,2021,7,7,14,N,Y,0,individual7,11,362.1998421,411.1759474,-151.3035072,2.532771485,6.360902256,6.360902256
12,2021,7,7,14,N,Y,0,individual7,12,,,,,4.285714286,4.285714286
13,2021,7,7,14,N,Y,0,individual7,13,366.0361155,237.0001495,,2.240393582,4.285714286,4.285714286
0,2021,7,7,14,N,Y,0,individual8,0,1293.522,655.8790526,-174.7951809,1.681639851,0.895522388,0.895522388
1,2021,7,7,14,N,Y,0,individual8,1,1195.378,696.0119474,167.4406905,1.839888776,0.895522388,0.895522388
2,2021,7,7,14,N,Y,0,individual8,2,1100.942579,692.1951053,-176.8502473,1.948555821,0.895522388,0.895522388
3,2021,7,7,14,N,Y,0,individual8,3,1027.800579,599.303,-137.0917267,2.07217868,0.895522388,0.895522388
4,2021,7,7,14,N,Y,0,individual8,4,970.7373158,524.1644737,-127.4200431,1.800912594,1.616858499,1.616858499
5,2021,7,7,14,N,Y,0,individual8,5,1006.900105,428.1252105,-80.7996567,1.738682379,2.367583859,2.367583859
6,2021,7,7,14,N,Y,0,individual8,6,1069.340211,365.4214737,-56.80523917,1.322911484,1.463414634,1.463414634
7,2021,7,7,14,N,Y,0,individual8,7,,,,,1.529933481,1.529933481
8,2021,7,7,14,N,Y,0,individual8,8,1127.962737,281.4438947,-51.28266142,1.116204833,2.727272727,2.727272727
9,2021,7,7,14,N,Y,0,individual8,9,1175.232211,237.8615789,-47.21100086,1.082035789,2.727272727,2.727272727
10,2021,7,7,14,N,Y,0,individual8,10,1232.961368,211.6347895,-31.40145104,1.467478104,2.928229665,2.928229665
11,2021,7,7,14,N,Y,0,individual8,11,1315.118211,198.0698421,-16.91224902,1.286679285,3.513157895,3.513157895
12,2021,7,7,14,N,Y,0,individual8,12,1397.547211,217.0582105,3.58185297,1.843484695,1.921745152,1.921745152
13,2021,7,7,14,N,Y,0,individual8,13,1495.214211,240.9478947,8.456898787,1.503929103,1.578947368,1.578947368
0,2021,7,7,18,N,Y,2,individual1,0,1519.638356,209.1259753,171.4082033,2.445923917,5.052631579,5.052631579
1,2021,7,7,18,N,Y,2,individual1,1,1485.557632,215.1387368,175.5059355,2.741953569,5.122807018,5.122807018
2,2021,7,7,18,N,Y,2,individual1,2,1439.244158,221.3071053,177.1010665,3.108148621,6.188197767,6.188197767
3,2021,7,7,18,N,Y,2,individual1,3,1363.527053,221.4306316,-178.5891897,3.110758994,5.215311005,5.215311005
4,2021,7,7,18,N,Y,2,individual1,4,1310.574789,213.7016316,-173.5596061,2.591922155,4.078947368,4.078947368
5,2021,7,7,18,N,Y,2,individual1,5,1281.876105,203.4696316,-172.627424,2.412515729,3.75,3.75
6,2021,7,7,18,N,Y,2,individual1,6,1266.480789,198.8192105,-177.4377697,2.168763563,3.657120743,3.657120743
7,2021,7,7,18,N,Y,2,individual1,7,1255.761105,199.4873158,178.4503941,2.191108025,3.645510836,3.645510836
8,2021,7,7,18,N,Y,2,individual1,8,1255.922421,192.9073684,-173.649481,1.916215496,3.139097744,3.139097744
9,2021,7,7,18,N,Y,2,individual1,9,1264.796263,198.6325263,173.5097338,2.19563148,3.875072296,3.875072296
10,2021,7,7,18,N,Y,2,individual1,10,,289.1332105,,,1.221230104,1.221230104
11,2021,7,7,18,N,Y,2,individual1,11,1224.232105,372.7555789,143.1751547,2.490748086,0.821917808,0.821917808
12,2021,7,7,18,N,Y,2,individual1,12,1213.046211,386.6131579,-179.1434138,2.653763756,0.821917808,0.821917808
13,2021,7,7,18,N,Y,2,individual1,13,1198.134579,332.7952632,-149.5552112,2.191423348,1.065740316,1.065740316
14,2021,7,7,18,N,Y,2,individual1,14,1195.047947,294.2106842,-151.8525251,2.430732119,5.454545455,5.454545455
15,2021,7,7,18,N,Y,2,individual1,15,1163.277053,258.4766842,-157.5026083,2.587620931,4.703717335,4.703717335
0,2021,7,7,18,N,Y,2,individual2,0,1132.769105,358.9048947,-100.9572506,1.454321652,5.263157895,5.263157895
1,2021,7,7,18,N,Y,2,individual2,1,1186.396895,304.8912632,-102.6475472,1.451912079,5.730994152,5.730994152
2,2021,7,7,18,N,Y,2,individual2,2,1169.069105,306.8841579,-165.2225927,,1.996278575,1.996278575
3,2021,7,7,18,N,Y,2,individual2,3,1088.448947,,,,1.363636364,1.363636364
4,2021,7,7,18,N,Y,2,individual2,4,1043.173368,322.8903158,178.6542439,2.562024394,1.363636364,1.363636364
5,2021,7,7,18,N,Y,2,individual2,5,989.7958947,319.5880526,176.4530006,3.225423737,4.66507177,4.66507177
6,2021,7,7,18,N,Y,2,individual2,6,919.4387895,344.4599474,165.2081593,3.287208538,5.301435407,5.301435407
7,2021,7,7,18,N,Y,2,individual2,7,838.9095789,387.7052105,161.3386185,3.549146079,4.194331984,4.194331984
8,2021,7,7,18,N,Y,2,individual2,8,764.9708947,446.7852105,158.1110817,3.150621769,3.929507025,3.929507025
9,2021,7,7,18,N,Y,2,individual2,9,715.2020526,499.3186842,156.2545108,2.8187395,3.876160991,3.876160991
10,2021,7,7,18,N,Y,2,individual2,10,682.8661579,540.0205263,158.5341571,,1.502392344,1.502392344
11,2021,7,7,18,N,Y,2,individual2,11,,,,,1.363636364,1.363636364
