,Year,Month,Day,Trial,Individual,Tailbeat,Ablation,Darkness,Flow,Angle_to_NN,Angle_PS,Distance_to_NN,Acceleration
1,2021,10,06,34,individual5,2.0,Y,N,2,-2.1699019717750843,-0.0037001837601019346,0.9103550893039065,-0.000704501133059302
2,2021,10,06,34,individual5,3.0,Y,N,2,-1.9875944851589957,-0.013566069055218915,1.0574718928851823,-0.0002951738580066626
3,2021,10,06,34,individual5,4.0,Y,N,2,-1.5761917351951944,-0.005571879976688776,2.1540659516976906,0.0012834907412712857
4,2021,10,06,34,individual5,5.0,Y,N,2,-1.1055459649038375,-0.012926172324238613,4.337180827395737,0.003015034897537298
5,2021,10,06,34,individual5,6.0,Y,N,2,-1.250264499391299,,3.639338138615831,-0.007353982488907628
6,2021,10,06,34,individual5,7.0,Y,N,2,,,,
7,2021,10,06,34,individual5,8.0,Y,N,2,,,,
8,2021,10,06,34,individual5,9.0,Y,N,2,,,,
9,2021,10,06,34,individual5,10.0,Y,N,2,,,,
10,2021,10,06,34,individual5,11.0,Y,N,2,,,,
11,2021,10,06,34,individual5,12.0,Y,N,2,,,,
12,2021,10,06,34,individual5,13.0,Y,N,2,-2.074152338755934,,6.077287768231573,-0.0005499481671631774
13,2021,10,06,34,individual5,14.0,Y,N,2,-2.572884648790671,0.0026643970378139705,4.1313198579792205,-0.007748220546371378
14,2021,10,06,34,individual5,15.0,Y,N,2,,,3.07465666222305,-0.00024961002188609834
0,2021,10,06,34,individual6,1.0,Y,N,2,2.661673553355675,,1.0820480295158397,0.005176751849395985
1,2021,10,06,34,individual6,2.0,Y,N,2,2.730464479188265,-0.003875034749569491,1.4212336420209397,-0.006482516430049214
2,2021,10,06,34,individual6,3.0,Y,N,2,2.9891567899540257,-0.013326342740268093,1.6833981788619878,0.000782780328467351
3,2021,10,06,34,individual6,4.0,Y,N,2,3.018120997544423,-0.004413007669027777,1.8616983757193166,-0.0008374425020507588
4,2021,10,06,34,individual6,5.0,Y,N,2,0.9375162976432869,-0.0052753187309323435,2.086794824888277,0.00045811089752645823
5,2021,10,06,34,individual6,6.0,Y,N,2,-2.7254598380542316,-0.0015908032220605143,1.51972036748879,-0.0032665118708331137
6,2021,10,06,34,individual6,7.0,Y,N,2,-2.2939233500897225,0.0028474108829651236,1.1672130757393677,-0.00022974426504769426
7,2021,10,06,34,individual6,8.0,Y,N,2,-3.010420938956752,,0.9503490161201256,-0.008692197791921772
8,2021,10,06,34,individual6,9.0,Y,N,2,,,,
9,2021,10,06,34,individual6,10.0,Y,N,2,,,,
10,2021,10,06,34,individual6,11.0,Y,N,2,,,,
11,2021,10,06,34,individual6,12.0,Y,N,2,,,,
12,2021,10,06,34,individual6,13.0,Y,N,2,,,,
13,2021,10,06,34,individual6,14.0,Y,N,2,,,,
14,2021,10,06,34,individual6,15.0,Y,N,2,,,,
0,2021,10,06,34,individual7,1.0,Y,N,2,0.8464839861342229,,1.4884221680705503,-0.02184791831430654
1,2021,10,06,34,individual7,2.0,Y,N,2,0.7899940481142831,,0.563275778166154,0.02183268460772022
2,2021,10,06,34,individual7,3.0,Y,N,2,,,,
3,2021,10,06,34,individual7,4.0,Y,N,2,,,,
4,2021,10,06,34,individual7,5.0,Y,N,2,,,,
5,2021,10,06,34,individual7,6.0,Y,N,2,,,,
6,2021,10,06,34,individual7,7.0,Y,N,2,,,,
7,2021,10,06,34,individual7,8.0,Y,N,2,,,,
8,2021,10,06,34,individual7,9.0,Y,N,2,,,,
9,2021,10,06,34,individual7,10.0,Y,N,2,,,,
10,2021,10,06,34,individual7,11.0,Y,N,2,,,,
11,2021,10,06,34,individual7,12.0,Y,N,2,,,,
12,2021,10,06,34,individual7,13.0,Y,N,2,,,,
13,2021,10,06,34,individual7,14.0,Y,N,2,,,,
14,2021,10,06,34,individual7,15.0,Y,N,2,,,,
0,2021,10,06,34,individual8,1.0,Y,N,2,-0.29402906852870064,,2.6220193106040206,-0.006986827714897135
1,2021,10,06,34,individual8,2.0,Y,N,2,-0.21801813725267283,0.002624403193544451,1.092357927169463,0.0012775577927540051
2,2021,10,06,34,individual8,3.0,Y,N,2,1.1539981684307976,0.004595851183070183,1.0574718928851823,-0.002108364169933762
3,2021,10,06,34,individual8,4.0,Y,N,2,0.42830443845547006,0.001030866362347924,1.8027632290817113,0.0010808678567324295
4,2021,10,06,34,individual8,5.0,Y,N,2,-0.5691771908297149,0.0005092726281213601,2.1116680000385197,-0.00953357589186549
5,2021,10,06,34,individual8,6.0,Y,N,2,-0.5782697179010874,0.035194043175627326,2.45032273874003,0.0038085823499752884
6,2021,10,06,34,individual8,7.0,Y,N,2,-0.34181202214279405,0.008292501609000864,3.2245018112245174,-0.003240937930394223
7,2021,10,06,34,individual8,8.0,Y,N,2,-0.25601040867964014,-0.03225831022068782,4.178292489410035,-0.0005845691226910396
8,2021,10,06,34,individual8,9.0,Y,N,2,-0.1558788464340882,0.00327357197218839,4.542016162761896,0.002946341699268593
9,2021,10,06,34,individual8,10.0,Y,N,2,-0.0737323521509852,0.020691619304497314,5.135333671547245,0.00023041524884766373
10,2021,10,06,34,individual8,11.0,Y,N,2,-0.6063149157281266,,6.248607743325995,0.011732060724535193
11,2021,10,06,34,individual8,12.0,Y,N,2,,,,
12,2021,10,06,34,individual8,13.0,Y,N,2,,,,
13,2021,10,06,34,individual8,14.0,Y,N,2,,,,
14,2021,10,06,34,individual8,15.0,Y,N,2,,,,
0,2024,01,19,06,individual1,1.0,Y,Y,2,-0.12104479843869663,-0.011212040447298304,1.5245720444345405,-0.0028143826034796224
1,2024,01,19,06,individual1,2.0,Y,Y,2,0.03066200409721437,-0.006134933834911275,1.6562370276379288,0.00013304832513902245
2,2024,01,19,06,individual1,3.0,Y,Y,2,0.20302138122131405,0.07662552839315054,1.5500902934928122,-3.558244854891212e-05
3,2024,01,19,06,individual1,4.0,Y,Y,2,0.4444943952623844,-0.0036325238168233814,1.2515561105738513,0.000388474584981267
4,2024,01,19,06,individual1,5.0,Y,Y,2,0.6861363700885624,-0.0021679521961425158,0.9746075822318725,-0.0005804540771162563
5,2024,01,19,06,individual1,6.0,Y,Y,2,0.8842999183794981,-0.007023133496738791,0.8376096145760376,-6.453871203219247e-06
6,2024,01,19,06,individual1,7.0,Y,Y,2,1.04217721458298,0.003412070851459059,0.7635398443550049,-4.7596839343161756e-05
7,2024,01,19,06,individual1,8.0,Y,Y,2,1.1039902858669721,0.0003541697810064526,0.6667516596180519,0.0016566613526579931
8,2024,01,19,06,individual1,9.0,Y,Y,2,0.7889221680047416,-0.0044839457338740245,0.46880089797279156,-0.001344247128640432
9,2024,01,19,06,individual1,10.0,Y,Y,2,-0.45771954581741875,-0.012842406459903621,0.42459227731330784,0.000652345627502391
10,2024,01,19,06,individual1,11.0,Y,Y,2,-1.3398225210443266,0.00957577124359953,0.8397170615575381,-0.0019046045495272612
11,2024,01,19,06,individual1,12.0,Y,Y,2,-1.3697220396434246,-0.0023175162040270053,1.3266260711209248,-5.4358873291686555e-08
