,Year,Month,Day,Trial,Ablation,Darkness,Flow,Fish,Tailbeat_Num,X,Y,Z,Yaw Heading,Pitch Heading,Speed,TB_Frequency,Fish_Length
0,2021,03,25,01,N,N,0,individual1,0,0.18201298980592479,0.030525593203394787,0.0866158113499483,-38.72881712314096,77.80271074352727,2.2510306560767397,1.132075471698113,1.132075471698113
1,2021,03,25,01,N,N,0,individual1,1,0.21756441493973327,0.03153085749589303,0.09075737957803125,-0.7188030800432121,83.87020506405086,2.1567277235355524,1.132075471698113,1.132075471698113
2,2021,03,25,01,N,N,0,individual1,2,0.2500819812308266,0.03604470785376892,0.08608810152014586,7.773218613738009,90.83706878743848,2.076809077285511,1.132075471698113,1.132075471698113
3,2021,03,25,01,N,N,0,individual1,3,0.27635890397235874,0.043094229396029846,0.08136933457376258,14.923342954011654,97.96971535374504,1.5619434200340656,2.050093787928942,2.050093787928942
4,2021,03,25,01,N,N,0,individual1,4,0.29916733903380244,0.05046204072982465,0.08093727801774277,18.212840088569145,93.48253085264044,1.3802161739138066,2.6900584795321643,2.6900584795321643
5,2021,03,25,01,N,N,0,individual1,5,0.3195058888225648,0.056829206898340597,0.07958227839083462,19.00627749392404,97.20002716926923,1.1453841732840875,3.6491228070175445,3.6491228070175445
6,2021,03,25,01,N,N,0,individual1,6,0.33841641256791244,0.06220126094884848,0.07942556436192882,17.786630560129066,97.03656109583149,1.405071090801817,5.6356275303643715,5.6356275303643715
7,2021,03,25,01,N,N,0,individual1,7,0.36131409905985307,0.0679448479725076,0.0824753692974628,14.932418833958499,108.19072662314916,1.9301415366318952,2.638056680161944,2.638056680161944
8,2021,03,25,01,N,N,0,individual1,8,0.38767422297349696,0.07392846197029634,0.08224590019264598,13.158473376971234,122.41794028750732,2.051815051170864,1.2,1.2
9,2021,03,25,01,N,N,0,individual1,9,0.4191106693009397,0.07366365775582322,0.08398059706351664,2.5383189262786496,105.38200976970826,1.7701702068903595,1.2,1.2
10,2021,03,25,01,N,N,0,individual1,10,0.4400752706669191,0.09159815624259786,0.05288468658332044,39.11829915476904,131.63380364462208,3.905495255061878,2.0932330827067673,2.0932330827067673
11,2021,03,25,01,N,N,0,individual1,11,0.43703988682704187,0.13250120541357457,0.024240881101607558,96.62089114507205,122.76060198070539,4.58986202172249,2.264661654135338,2.264661654135338
12,2021,03,25,01,N,N,0,individual1,12,,,,,,,2.4,2.4
13,2021,03,25,01,N,N,0,individual1,13,,,,,,,2.4,2.4
0,2021,03,25,01,N,N,0,individual2,0,0.23358468826157464,0.19737846503916523,0.1300380122628581,15.32872427223749,112.61592031307207,1.9325637727567309,5.0,5.0
1,2021,03,25,01,N,N,0,individual2,1,0.25513712122662424,0.20420930264619977,0.12946386210861371,15.857751245691128,110.10531286142971,2.238478909930979,7.105263157894738,7.105263157894738
2,2021,03,25,01,N,N,0,individual2,2,0.2774153554716385,0.20991003222243737,0.12699291264202497,12.596783008568076,103.73887601245093,1.4735779127944095,3.0671506352087117,3.0671506352087117
3,2021,03,25,01,N,N,0,individual2,3,0.29713090913601464,0.21203006145719766,0.12121922644016324,6.642517734552432,102.01861841728197,1.596492187969178,2.0689655172413794,2.0689655172413794
4,2021,03,25,01,N,N,0,individual2,4,0.31829559210921216,0.2033740390727895,0.12420178288326665,-17.82584712247477,94.81021413371884,2.354987340727689,5.246658967167134,5.246658967167134
5,2021,03,25,01,N,N,0,individual2,5,0.34406198069126637,0.1849618213746173,0.10491298367722975,-43.471380165661195,116.47418533229646,2.7364835659131463,5.511961722488038,5.511961722488038
6,2021,03,25,01,N,N,0,individual2,6,0.35862447786635426,0.152192948636425,0.03792137019208093,-79.57895014522491,139.86871041368667,11.991924157449944,7.614035087719299,7.614035087719299
7,2021,03,25,01,N,N,0,individual2,7,,,,,,,1.870353850728516,1.870353850728516
8,2021,03,25,01,N,N,0,individual2,8,,,,,,,1.016949152542373,1.016949152542373
9,2021,03,25,01,N,N,0,individual2,9,0.32721265191430254,0.07761922634501094,0.020668437364966794,-107.79678663963703,122.7805371238833,1.6330508772434593,1.016949152542373,1.016949152542373
10,2021,03,25,01,N,N,0,individual2,10,,,,,,,1.3589057389235804,1.3589057389235804
11,2021,03,25,01,N,N,0,individual2,11,0.3338183170035999,0.10267461751748178,-0.1484650109407756,122.9755199717723,168.64257482899075,13.287404623185461,1.666666666666667,1.666666666666667
12,2021,03,25,01,N,N,0,individual2,12,0.33259492994073503,0.12137945678533567,-0.194153551153288,103.28084342367023,164.57876465711095,2.6344970936935663,1.666666666666667,1.666666666666667
13,2021,03,25,01,N,N,0,individual2,13,0.31952550169615457,0.12340109843009583,-0.24669876348178216,144.7155432094865,165.50114385405453,2.218600148942869,1.666666666666667,1.666666666666667
0,2021,03,25,01,N,N,0,individual3,0,0.30766440767932923,0.17659812985521467,0.14563848101691795,-18.046828710927834,92.04329627494513,2.1162829986569727,5.43859649122807,5.43859649122807
1,2021,03,25,01,N,N,0,individual3,1,,,,,,,4.3358395989974925,4.3358395989974925
2,2021,03,25,01,N,N,0,individual3,2,,,,,,,0.7142857142857142,0.7142857142857142
3,2021,03,25,01,N,N,0,individual3,3,,,,,,,0.7142857142857142,0.7142857142857142
4,2021,03,25,01,N,N,0,individual3,4,0.37187378500595225,0.20159166187693356,0.14808042532206012,30.011628112347278,94.22062260805107,1.6845150474497146,0.7142857142857142,0.7142857142857142
5,2021,03,25,01,N,N,0,individual3,5,0.38874443111619267,0.19467749267267506,0.15336803967474769,-7.88729768179627,96.59968355584093,2.100141603826205,0.7142857142857142,0.7142857142857142
6,2021,03,25,01,N,N,0,individual3,6,,,,,,,1.7647058823529413,1.7647058823529413
7,2021,03,25,01,N,N,0,individual3,7,,,,,,,2.364848773517504,2.364848773517504
8,2021,03,25,01,N,N,0,individual3,8,0.40730687309445385,0.13638512277346382,0.10531258439437952,-110.82615259104223,129.3877067925832,5.1742906468102365,4.291497975708502,4.291497975708502
9,2021,03,25,01,N,N,0,individual3,9,0.36523565962770516,0.14150133883130503,0.09775748905256286,168.6799858219795,77.95688455750195,3.8935951721879993,1.9368421052631586,1.9368421052631586
10,2021,03,25,01,N,N,0,individual3,10,0.32825714128873856,0.1484872100107814,0.111506672568774,171.11066300304051,74.70862997292083,1.9014183092179084,1.2,1.2
11,2021,03,25,01,N,N,0,individual3,11,,,,,,,1.4684210526315788,1.4684210526315788
12,2021,03,25,01,N,N,0,individual3,12,,,,,,,3.4496567505720823,3.4496567505720823
13,2021,03,25,01,N,N,0,individual3,13,0.2434493901406766,0.1630340365635572,0.12088546007749361,172.555819536487,81.23152516190878,2.2422522899371136,2.608695652173913,2.608695652173913
0,2021,03,25,01,N,N,0,individual4,0,0.31970745827298835,0.22382608123458111,0.14246682444524225,-24.05439284649231,109.80353816344903,2.6736799101553888,9.839335180055404,9.839335180055404
1,2021,03,25,01,N,N,0,individual4,1,0.35162114340633527,0.19928140068154018,0.12368666226291214,-41.712113449559006,126.64068869135468,3.52852163264379,6.10803324099723,6.10803324099723
2,2021,03,25,01,N,N,0,individual4,2,,,,,,,3.8421052631578947,3.8421052631578947
3,2021,03,25,01,N,N,0,individual4,3,,,,,,,2.6230440967283073,2.6230440967283073
4,2021,03,25,01,N,N,0,individual4,4,0.30374355875521136,0.13243621607325368,0.08324496405452797,-156.94874288143671,96.67937283986491,1.7999603625664815,1.6216216216216217,1.6216216216216217
5,2021,03,25,01,N,N,0,individual4,5,0.2795587883042097,0.13675497803529574,0.08667129300847427,-179.13985545809228,78.64130315556459,1.9855310049780324,1.5217014190056553,1.5217014190056553
6,2021,03,25,01,N,N,0,individual4,6,0.2537029292147136,0.1373308487645815,0.09680441605234627,-177.32819804081606,79.36706286046137,1.7557724388644111,1.4634146341463417,1.4634146341463417
7,2021,03,25,01,N,N,0,individual4,7,0.2326759372948414,0.1394937249010831,0.11050001072435749,-179.2534191828856,74.56975398334019,1.784120424264661,4.830368604437925,4.830368604437925
8,2021,03,25,01,N,N,0,individual4,8,0.21554091548599671,0.14126800019927255,0.11399156957009939,-179.29884288516172,77.0432491227306,2.011776584833,3.6090225563909772,3.6090225563909772
9,2021,03,25,01,N,N,0,individual4,9,0.19916929810477138,0.14324590686032615,0.11938912260238356,179.67958686559422,81.9207857790458,1.6693146675804722,2.4546660769570985,2.4546660769570985
10,2021,03,25,01,N,N,0,individual4,10,0.18744331674388004,0.15663570868039733,0.12875478925908834,150.69734200901473,59.67821427404456,2.8251961807208796,1.7647058823529413,1.7647058823529413
11,2021,03,25,01,N,N,0,individual4,11,0.19024506908451272,0.18621986182538197,0.14979193963210036,94.23434185554615,49.135006421916515,4.350167743501449,2.6728586171310633,2.6728586171310633
12,2021,03,25,01,N,N,0,individual4,12,0.21917561425457818,0.20093159453230083,0.14594352071967528,28.34018558495399,115.49303990062026,2.3098503066370775,3.333333333333334,3.333333333333334
13,2021,03,25,01,N,N,0,individual4,13,0.24556404412126925,0.20737378064107204,0.15664595249443483,13.621602277638177,115.15962011593604,,3.333333333333334,3.333333333333334
0,2021,03,25,01,N,N,0,individual5,0,0.2703801540912727,0.10299142658105577,0.1727727712411236,-3.8018500275386025,80.83535539860863,1.8839314331937036,1.2,1.2
1,2021,03,25,01,N,N,0,individual5,1,0.29515982391861334,0.102926213469227,0.17171739592958324,-3.292870460740898,93.05707962382766,1.6145067124556087,1.2,1.2
2,2021,03,25,01,N,N,0,individual5,2,0.3153929751792383,0.10107146826292605,0.16559409470688669,-7.9859782976256195,98.71266027509911,1.691205286481802,1.3342105263157893,1.3342105263157893
3,2021,03,25,01,N,N,0,individual5,3,0.3324998566588694,0.0996404663320474,0.1605594909560181,-8.860491429059726,105.55869052043215,1.5000718791454202,3.5097254004576652,3.5097254004576652
4,2021,03,25,01,N,N,0,individual5,4,0.3502951202028591,0.09887084593068841,0.1587911435799448,-5.916790096112391,109.50368749157504,1.610447601563548,2.608695652173913,2.608695652173913
5,2021,03,25,01,N,N,0,individual5,5,0.36774393525248816,0.11060315112332687,0.14184755323579665,26.12976141755775,127.35222387623229,3.0064900978191025,1.132075471698113,1.132075471698113
