,Year,Month,Day,Trial,Tailbeat_Num,Ablation,Darkness,Flow,X_Center,Y_Center,X_SD,Y_SD,Z_SD,School_Polar,School_Speed,School_TB_Freq,NND,Area,Groups,Mean_Groups,School_Height
0,2021,10,06,34,0,Y,N,2,1.9916510249755248,1.9792661216409209,1.077701849869544,0.4584237766271362,3.7588770526148285,0.6496705672557056,1.7351739252111489,3.7279958852101234,0.5819707784738477,15.297171255772872,2.0,2.6842105263157894,10.689871577844146
1,2021,10,06,34,1,Y,N,2,2.154946054814586,1.7474006726481712,0.9663385654124944,0.42463556201917535,3.4014981406215115,0.680286454635196,1.8824881356786967,2.63990466786194,0.5337412459086988,10.082040025740286,3.0,2.6315789473684212,9.247291825893242
2,2021,10,06,34,2,Y,N,2,2.2425562685396674,2.3925935655726946,0.987309386747679,0.48076764984713516,3.919456520514759,0.6072556411749183,6.1438255908506525,2.944082675082478,0.5830920658881666,14.607470197993655,2.0,2.0,11.436343515376715
3,2021,10,06,34,3,Y,N,2,2.260871746423477,4.134411718779843,1.0739541198832283,0.582360678226479,6.256565608841447,0.5756795474833529,6.462516755026855,2.3298984161682137,0.7305481181065201,4.515854439417675,2.0,2.1578947368421053,18.907665132287743
4,2021,10,06,34,4,Y,N,2,2.3166357711818444,5.361348841221692,0.9729610840917958,0.6718857350200583,6.587832002804742,0.2978290980669506,4.308008246100576,2.250829849402885,1.0471084838407843,,2.0,1.7894736842105263,16.80974373433711
5,2021,10,06,34,5,Y,N,2,2.373990321022278,6.591341822151775,1.5681974753373864,1.2976700942991104,14.976201093202647,0.46513822025002555,5.901554841256551,3.5522449027527627,0.917181972788584,37.07340872042579,3.0,3.0,47.09849598609654
6,2021,10,06,34,6,Y,N,2,2.488401569405354,6.800921030903275,1.668239512278119,1.6252879244818996,17.344202290697094,0.7512614015372382,2.151705094657108,2.4897628252553745,1.0396887548391922,46.02585252819384,5.0,4.7894736842105265,55.8017697968536
7,2021,10,06,34,7,Y,N,2,2.5905955427955143,6.23409959771513,1.4696182114178276,1.5343687472670067,15.339425045296247,0.8521182704448748,3.137683319558444,1.8705260265944135,1.0354755714854567,38.70921907308093,5.0,5.0,49.40513710263079
8,2021,10,06,34,8,Y,N,2,2.734497503076641,5.180397029690554,1.101158612529087,1.2575152932389366,11.862669381468507,0.798974370474408,3.953567706424662,2.7967220889502165,0.8988703129438576,25.53364730573466,5.0,4.684210526315789,37.92612836802135
9,2021,10,06,34,9,Y,N,2,2.7671583210753785,4.601867675359947,0.9296896362783209,1.1129631786507246,10.130568945000036,0.8447856700634676,2.5590998440956056,5.047566271484886,0.8299291108760323,29.87858507923652,4.0,4.2631578947368425,31.83715032901231
10,2021,10,06,34,10,Y,N,2,2.639009083813888,4.7920841799771035,0.9041488429032396,1.1684744463875978,10.303532438120232,0.6178331377085907,2.638843196745217,7.545012231928249,0.9284943384800677,5.968421060554338,4.0,4.052631578947368,28.388025841447966
11,2021,10,06,34,11,Y,N,2,2.5702016976799733,4.94329933270539,0.9556511886241794,1.1265835878785828,9.953224855762022,0.6097874065636937,2.8152097900147415,6.750154016187546,0.9059651205306569,2.9941216874111953,4.0,4.0,26.061881434509502
12,2021,10,06,34,12,Y,N,2,2.5579574011625574,4.881509520344601,0.9512822042549471,1.0094635619361272,9.0389207324018,0.7433937485769938,2.9650211622854887,6.737597164213978,0.9458346473708574,50.42447301929493,5.0,4.7894736842105265,25.17935117455271
13,2021,10,06,34,13,Y,N,2,2.5750745332022094,4.243770398993257,1.0449227207738856,0.9377417693919027,8.760313586453098,0.9416748790493249,3.304741173219036,7.687417528224315,0.8442555834246515,170.99770831834644,5.0,4.947368421052632,25.519609210066136
14,2021,10,06,34,14,Y,N,2,2.497719501236135,4.342576329630874,1.1327405632774967,0.9301459790961516,8.944348327539869,0.9563550850288296,3.183941294938839,7.934144254867938,0.9095651465804534,202.09256088550148,5.0,4.947368421052632,26.43745254678994
0,2021,08,03,11,0,Y,N,2,1.4867239340389935,-0.19115552910271602,0.9361872327692069,0.3723638021320088,1.5574741289494916,0.4196900241879253,1.9327271053504484,4.442610537037782,0.5758429445615622,10.381637160202525,2.0,1.894736842105263,5.292051366535523
1,2021,08,03,11,1,Y,N,2,1.6098952744983415,-0.06557378957361071,0.8703388209016646,0.3782343789351143,1.3662817111651808,0.3944844371158951,1.6025820824077117,2.7481377842138124,0.502915628975671,7.085190115363166,1.0,1.368421052631579,4.5393845330709
2,2021,08,03,11,2,Y,N,2,1.7851432837155419,-0.20014040629466587,0.8185162422712435,0.38079416152436635,1.2003133941287452,0.18128566608351046,1.5452592900069062,1.9898229284598634,0.5704739377473809,7.0351895290310695,1.0,1.0,3.5931951703351164
3,2021,08,03,11,3,Y,N,2,1.9542050351818072,-0.28307314944887163,0.8798355713110618,0.41074146770116937,1.4588870544914783,0.0948453273148129,1.4477219381789066,1.6856874859058588,0.6383646980264837,12.080720545600322,1.0,1.0,4.479547574579909
4,2021,08,03,11,4,Y,N,2,2.1239650240921515,-0.29467380998481696,1.0085626674282615,0.43389793483931866,1.8365256956823854,0.3258145034472162,1.5610512358698667,1.7886532054715245,0.6992055446573952,36.92120536986636,2.0,1.894736842105263,6.145224914453345
5,2021,08,03,11,5,Y,N,2,2.3009897303683817,-0.43438218786154,1.001146645894093,0.4814886711479427,2.037190491254341,0.27603120070100384,1.5637819272756257,1.692695055816709,0.6677880504599996,50.7038711546164,2.0,2.0,6.723672520129066
