,Year,Month,Day,Trial,Tailbeat_Num,Ablation,Darkness,Flow,X_Center,Y_Center,X_SD,Y_SD,School_Polar,School_Speed,School_TB_Freq,NND,Area,Groups
0,2021,10,06,34,0,Y,N,2,0.15489679113486746,0.19567776352384203,1.5156804889571949,0.7274620688524058,0.7133267673046803,8.43035726869687,4.3422657077618005,1.018871945246624,5.465660222962955,2.0
1,2021,10,06,34,1,Y,N,2,0.17981880202368303,0.19072153045048276,1.0947256996216765,0.6376561456630035,0.6674964515239088,5.444711845459335,2.254136507647918,0.8025736645542892,3.401329016816603,1.0
2,2021,10,06,34,2,Y,N,2,0.18279345855247622,0.19264265927573546,1.0802623761269279,0.6049142324225432,0.6050325172594216,3.0447146694679312,2.8845702927666674,0.8152663057248896,3.390011921630752,1.0
3,2021,10,06,34,3,Y,N,2,0.18078795704061734,0.2143340122746121,1.0347531845483138,0.555542625178402,0.5752851319583496,6.215546094954662,2.343538454551576,1.131855046496864,2.28446975673275,1.0
4,2021,10,06,34,4,Y,N,2,0.20409048316415893,0.2117067575145906,0.6222857515934661,0.6064816018840784,0.40829623283121247,7.060639879166781,2.2135478570981753,1.0653627324517467,1.3369327653457124,1.0
5,2021,10,06,34,5,Y,N,2,0.21752438002297989,0.21282666919443186,1.0183092644143776,0.801875943682316,0.5540695905405381,3.467411879301545,3.9063926773207527,0.8420224073889645,3.0265988330305125,1.0
6,2021,10,06,34,6,Y,N,2,0.23600177648765963,0.21458007363183143,0.9422092212085718,0.825487134315662,0.6523298131677532,1.620750439475269,3.5462882786806444,0.7685274896630073,3.3699388566468693,1.0
7,2021,10,06,34,7,Y,N,2,0.24303801417845114,0.21480808453638767,0.8553613662262355,0.7644668475937457,0.7567686213804192,1.8535028452082916,2.3602939182260427,0.6738693183318568,3.1825318834826284,1.0
8,2021,10,06,34,8,Y,N,2,0.24966704440107781,0.2161684253665027,0.8090238610146964,0.7164285267341723,0.810410045645134,1.7646916586831585,2.676188621909311,0.6200017920974034,3.111770445557423,1.0
9,2021,10,06,34,9,Y,N,2,0.25149001013728484,0.2193042258051263,0.8316546978319116,0.7257055921215135,0.9241292052732983,2.257310203311011,3.549943060164648,0.6693341173467879,3.290476412320188,1.0
10,2021,10,06,34,10,Y,N,2,0.2607814890214848,0.20785985382095334,0.8379480507365341,0.7217591666654579,0.5716135833751298,4.207575281735347,3.1280166141159342,1.139123232393865,2.4875905704909407,1.0
11,2021,10,06,34,11,Y,N,2,0.2407780941678555,0.2119395802253278,0.879232959873403,0.6614286089149581,0.6132078199577823,2.7775506665767766,2.9929148737510367,1.0330583838566403,2.644710382427904,1.0
12,2021,10,06,34,12,Y,N,2,0.23545529155864203,0.22350246164544005,0.8159607668881962,0.7527500680112139,0.7579264132433469,7.635348081359083,3.66503531169334,0.8170080058391042,2.960781992448271,1.0
13,2021,10,06,34,13,Y,N,2,0.24006501577969894,0.21698296837150685,0.9030174402995966,0.702412943390653,0.9607269357410573,3.5190040410701067,3.0244059039640407,0.7118838386051881,3.4483054581620873,1.0
14,2021,10,06,34,14,Y,N,2,0.23729483067472626,0.2113446883274067,0.9591901380262451,0.6621906166211047,0.9491421882445753,3.956599723220086,5.292659448288627,0.7739970110979509,3.4881295957621004,1.0
0,2021,08,03,11,0,Y,N,2,0.10800805515406858,0.1023127168026988,0.9838506270485388,0.6676832020610066,0.40149701847321534,3.130878043855568,3.094625951066925,0.8401150787763637,3.370037987468459,1.0
1,2021,08,03,11,1,Y,N,2,0.12414854434256012,0.09634257518311083,0.8990349125884385,0.582851865398992,0.30558760088085213,3.551565857262039,2.207790463578591,0.7290878728301554,2.751094644331379,1.0
2,2021,08,03,11,2,Y,N,2,0.14441899043124107,0.09580726560765784,0.8542815233194815,0.4902461587617666,0.10487167969813418,4.3621019436921795,2.0485578954659935,0.6159390387652531,2.1646387640126283,1.0
3,2021,08,03,11,3,Y,N,2,0.16360013344161825,0.09852263913572114,0.9257889263006629,0.45838539209543494,0.10532445910316363,3.0259952816876368,1.799489899984879,0.6937877988632559,2.5532906558854482,1.0
4,2021,08,03,11,4,Y,N,2,0.17618251041156405,0.10554492352571967,1.071360643510528,0.4931671387682375,0.3293994588329144,1.4993464353939934,1.9812574052777225,0.7753757585960132,3.3759820314534883,1.0
