,Year,Month,Day,Trial,Ablation,Darkness,Flow,Fish,Tailbeat_Num,X_Distance,Y_Distance,Distance,Angle,Heading_Diff,Speed_Diff,Sync
0,2022,06,10,08,N,N,0,individual1xindividual2,0,4.535904900202609,-0.3550403221511112,4.5497787741861915,-4.459155789001573,42.18542881519334,-0.21769993017846614,0.32741080662764255
1,2022,06,10,08,N,N,0,individual1xindividual2,1,4.238026440289874,-0.17360866807740485,4.241580846598079,-2.3078275125846957,22.96907424152232,-1.7075173348622734,0.32741080662764255
2,2022,06,10,08,N,N,0,individual1xindividual2,2,3.5127827956691435,0.1276457333779316,3.5151011938205583,2.2596905960085203,119.97617984447928,-3.0096529319235534,0.32741080662764255
3,2022,06,10,08,N,N,0,individual1xindividual2,3,2.7654305596685815,0.33027722577421936,2.7850833427770163,6.9086240292867185,150.05632214676532,0.7758436041173283,0.44727826493925543
4,2022,06,10,08,N,N,0,individual1xindividual2,4,1.68110274332305,0.26511957497826893,1.701879790891514,9.248765562376732,165.88540018616627,0.8320479347557822,0.8829722567297061
5,2022,06,10,08,N,N,0,individual1xindividual2,5,0.05680910000724366,0.22244528174107756,0.2295847930776348,83.73467598901125,165.3503866854446,0.6790443891552932,0.9087219039278495
6,2022,06,10,08,N,N,0,individual1xindividual2,6,-1.4556051545029995,0.10404069045924802,1.4593186187693687,174.83045539419817,160.1415746637745,-0.05875830954397818,0.7062657947472459
7,2022,06,10,08,N,N,0,individual1xindividual2,7,-3.020555831705285,0.09633987464207816,3.0220918093093823,178.10785153379007,162.1439857474404,-0.18435483916701825,0.45111946062873587
8,2022,06,10,08,N,N,0,individual1xindividual2,8,-4.899726129078819,0.05375819106111121,4.900021028840985,179.39823036265744,169.3365591733426,-0.6200727098321653,0.26434204054905797
9,2022,06,10,08,N,N,0,individual1xindividual2,9,-6.819036071294654,0.030250967507925167,6.819103171433381,179.74285533731668,174.0987953353414,-0.7200917081227645,0.24218545395962676
10,2022,06,10,08,N,N,0,individual1xindividual2,10,-8.251793088723113,0.1432991454345769,8.253037248442588,179.00910642727283,152.70961653356562,0.7477629388806055,0.883508175693524
0,2022,06,10,08,N,N,0,individual1xindividual3,0,7.232319029014051,-1.4769204719404059,7.38158063140107,-11.54302365654719,146.9617579358619,0.10826274576734388,0.5808016816191138
1,2022,06,10,08,N,N,0,individual1xindividual3,1,7.244399745619715,-1.6095687412649986,7.421053780103765,-12.524234530460777,101.24018640996454,-0.4157906136255614,0.5808016816191138
2,2022,06,10,08,N,N,0,individual1xindividual3,2,7.266702885519817,-1.6679118759533935,7.455662334921587,-12.924979135692245,66.36185574326261,-0.5913285541365785,0.5808016816191138
3,2022,06,10,08,N,N,0,individual1xindividual3,3,7.060059143016472,-2.076975393594368,7.359229707550035,-16.409866251150465,68.91590079576596,-0.4784382031326735,0.656786279489516
