,Year,Month,Day,Trial,Ablation,Darkness,Flow,Fish,Tailbeat_Num,X_Distance,Y_Distance,Distance,Angle,Heading_Diff,Fish1_Speed,Fish2_Speed,Speed_Diff,Spatial_Auto,Sync
0,2021,07,07,14,N,Y,0,individual2xindividual1,0,,-1.5824128715571308,,,,0.6250731269172172,,,,0.41164592504145875
0,2021,07,07,14,N,Y,0,individual3xindividual1,0,,-1.361863376056722,,,,0.834377518009081,,,,0.36546083247361916
1,2021,07,07,14,N,Y,0,individual3xindividual1,1,-1.8685612217071175,-1.6548101990728115,2.4959803353037446,-138.58657844937778,98.27468884772047,1.8905367623469136,0.4170819528404179,1.4734548095064957,-0.39277521052629305,0.33789920744780566
2,2021,07,07,14,N,Y,0,individual3xindividual1,2,-2.2963185164985,,,,,1.2078705096350535,,,,0.32805576993858654
3,2021,07,07,14,N,Y,0,individual3xindividual1,3,-2.353185710389965,-2.3973886010362695,3.359308722335916,-134.4208414334752,157.42215420902443,1.4462194861648705,1.0904394059862514,0.35578008017861906,-7.094105947368436,0.32805576993858654
4,2021,07,07,14,N,Y,0,individual3xindividual1,4,-1.9478429233706027,-2.7690059994545955,3.385481690858847,-125.12275055110167,137.59940480275978,1.1293939339663681,0.86523813712306,0.2641557968433084,2.5391431052631943,0.32805576993858654
5,2021,07,07,14,N,Y,0,individual3xindividual1,5,-1.6885819470957184,-2.9722287973820563,3.4183991891007626,-119.61749923135743,119.6170637782593,0.7511282308298165,0.6066093160858088,0.14451891474400785,-0.4183669999999962,0.32805576993858654
6,2021,07,07,14,N,Y,0,individual3xindividual1,6,-1.4135320425415872,,,,,,0.6333571086426883,,,0.5726593006067141
0,2021,07,07,14,N,Y,0,individual1xindividual4,0,,1.1055399509135533,,,,,1.3791514384402037,,,0.6206928612285744
1,2021,07,07,14,N,Y,0,individual1xindividual4,1,-3.8013905099536403,1.023222252522498,3.936693230012063,164.92544352221273,44.13333666256028,0.4170819528404179,1.8002177187472457,-1.3831357659068277,2.1227353684209644,0.8542090590978674
2,2021,07,07,14,N,Y,0,individual1xindividual4,2,-2.9110458140169078,,,,,,2.1778042367995605,,,0.9335080883136623
3,2021,07,07,14,N,Y,0,individual1xindividual4,3,-2.298202890646305,0.8535751295336788,2.4515968323387654,159.63367447523356,66.8387115477345,1.0904394059862514,1.8077385943350568,-0.7172991883488051,17.221398157894757,0.9335080883136623
4,2021,07,07,14,N,Y,0,individual1xindividual4,4,,,,,,0.86523813712306,,,,0.8967677277562192
5,2021,07,07,14,N,Y,0,individual1xindividual4,5,-1.9932746113989637,0.5497474775020453,2.0676958106712777,164.56752624798514,10.751018072372796,0.6066093160858088,1.3468308211858508,-0.7402215051000419,6.29273442105265,0.82062474335029
6,2021,07,07,14,N,Y,0,individual1xindividual4,6,-1.6527439323697848,0.4953266975729479,1.725372725909872,163.36487335020945,10.223292317251836,0.6333571086426883,2.057811715518662,-1.4244546068759738,10.660513052631527,0.824130192796388
0,2021,07,07,14,N,Y,0,individual6xindividual1,0,,-1.1274147804745023,,,,0.863807813492749,,,,0.5215151141275867
1,2021,07,07,14,N,Y,0,individual6xindividual1,1,0.24628824652304346,-0.8950668121079901,0.9283331829211727,-74.33947822776732,70.50491745805601,1.0498722748419547,0.4170819528404179,0.6327903220015367,-2.19147552631577,0.45389705639144357
2,2021,07,07,14,N,Y,0,individual6xindividual1,2,0.3242656122170712,,,,,1.8425482280327723,,,,0.18304542673239932
3,2021,07,07,14,N,Y,0,individual6xindividual1,3,0.8564412326152169,-0.6464715025906737,1.0730410004213797,-38.823099411491356,78.13453717962788,1.7993513337777198,1.0904394059862514,0.7089119277914682,-17.99635431578947,0.12549125237736236
4,2021,07,07,14,N,Y,0,individual6xindividual1,4,1.618600490864467,-0.48639623670575394,1.690103206348125,-17.127520805661945,120.51470909914,,0.86523813712306,,,0.12029783920303239
5,2021,07,07,14,N,Y,0,individual6xindividual1,5,2.2585025906735745,,,,,,0.6066093160858088,,,0.17245946259305778
0,2021,07,07,14,N,Y,0,individual7xindividual1,0,,,,,,,,,,0.31554504621792795
1,2021,07,07,14,N,Y,0,individual7xindividual1,1,,,,,,,0.4170819528404179,,,0.45306403513297155
2,2021,07,07,14,N,Y,0,individual7xindividual1,2,1.6833741478047448,,,,,1.7648573634821185,,,,0.5345844887680159
